corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,575.4675015434623,go,squareblack.png,right,0.4,575.4866174757481,575.4866174757481,575.9834615662694,575.9834615662694,576.0001668259501,576.3840345442295,576.8846209719777,576.9831711500883,577.9856135323644,577.9856135323644,right,1,0.6180992797017097,577.9856135323644,577.9856135323644,578.489769294858,578.489769294858,0.0011793076992034912,0.49017927795648575,0.8906318247318268,578.4704852327704,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,578.4709062799811,stop,squareblack.png,right,0.4,578.489769294858,578.489769294858,578.9868701696396,578.9868701696396,579.0035846754909,579.3872411996126,579.8877637162805,579.9878372848034,580.9891366511583,580.9891366511583,None,0,,580.9891366511583,580.9891366511583,581.493763640523,581.493763640523,0.0012466087937355042,0.4902619943022728,0.8906876221299171,581.4737913310528,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,2,3,11,2,,,,,,,,,,,,,,,,,581.4742105528712,go,circleblack.png,left,0.45,581.493763640523,581.493763640523,581.9903914555907,581.9903914555907,582.0067822486162,582.4408137574792,582.9563991352916,582.9897779896855,583.9923207908869,584.0092039704323,left,1,0.6418756917119026,584.0092039704323,584.0092039704323,,,0.0019109025597572327,0.4904279261827469,0.9406056776642799,584.4937630742788,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,584.4941963925958,go,circleblack.png,left,0.45,584.5133846849203,584.5133846849203,585.0100699812174,585.0100699812174,585.0267809927464,585.46052608639,585.9614530429244,586.0115372762084,587.0119200050831,587.0284735038877,left,1,0.8681058213114738,587.0284735038877,587.0284735038877,,,0.001237131655216217,0.4898657649755478,0.9404075667262077,587.513696692884,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,587.5141141861677,stop,squareblack.png,right,0.45,587.5337200239301,587.5337200239301,588.0304909422994,588.0304909422994,588.047061920166,588.4808274805546,588.9811943992972,589.031284801662,590.0326545760036,590.0490687936544,None,0,,590.0490687936544,590.0490687936544,590.5535427257419,590.5535427257419,0.0016906335949897766,0.490213081240654,0.9408428743481636,590.5339833647013,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,590.534404091537,go,squareblack.png,right,0.5,590.5535427257419,590.5535427257419,591.0502628684044,591.0502628684044,591.0669331848621,591.5508022755384,592.051152318716,592.051152318716,593.0524918735027,593.0688909068704,right,1,0.7349781543016434,593.0688909068704,593.0688909068704,593.5738662406802,593.5738662406802,0.0011914744973182678,0.49001698940992355,0.9903616160154343,593.5537746250629,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,3,15,0,,,,,,,,,,,,,,,,,593.5541936606169,go,circleblack.png,left,0.5,593.5738662406802,593.5738662406802,594.068791501224,594.068791501224,594.0854723602533,594.5693062394857,595.0710199251771,595.0710199251771,596.0721510127187,596.0887318700552,left,1,0.7593505457043648,596.0887318700552,596.0887318700552,,,0.001930244266986847,0.4887540265917778,0.989166796207428,596.5737109184265,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,4,0,16,3,,,,,,,,,,,,,,,,,596.5741238743067,stop,circleblack.png,left,0.5,596.5933977812529,596.5933977812529,597.0902914181352,597.0902914181352,597.1067358776927,597.590577609837,598.091167807579,598.091167807579,599.0923960506916,599.1088015809655,None,0,,599.1088015809655,599.1088015809655,599.6138866767287,599.6138866767287,0.0012537911534309387,0.4898536279797554,0.9903476536273956,599.5936812609434,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,599.5940970629454,go,squareblack.png,right,0.55,599.6138866767287,599.6138866767287,600.1101482585073,600.1101482585073,600.1267415061593,600.6606675758958,601.1599489673972,601.1097357198596,602.1123832836747,602.1292770802975,right,1,0.5836905762553215,602.1292770802975,602.1292770802975,,,0.0017507374286651611,0.49035124480724335,1.0410114154219627,602.6138652637601,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,602.6142874136567,stop,circleblack.png,left,0.55,602.6336936578155,602.6336936578155,603.1287144869566,603.1287144869566,603.1453559100628,603.6795697584748,604.1816435605288,604.131240516901,605.1323352083564,605.1494385376573,left,1,0.6508897393941879,605.1494385376573,605.1494385376573,,,0.0017737746238708496,0.48861538618803024,1.0392230525612831,605.6339313685894,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s040,001,2024-09-26_14h02.25.505,simplestop_skeleton,2022.2.2,59.599264317176115,
