corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,fixation.stopped,goStim.started,goResp.started,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,2,0,2,0,9,3,39,1,,,,,,,,,3098.317662805319,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,,,0.001283407211303711,0.4898303300142288,,3100.8186656981707,test,3,,,,,,,,3098.336163714528,3098.833779633045,3098.833779633045,3098.850049071014,3099.0837365090847,3099.5829487368464,3099.833056628704,3100.8356284946203,left,1,0.4213188514113426,0.25,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,10,0,40,1,,,,,,,,,3100.81913574785,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,,,0.0012452304363250732,0.4895959049463272,,3103.3232957720757,test,3,,,,,,,,3100.8356284946203,3101.3347249403596,3101.3347249403596,3101.3347249403596,3101.5850893855095,3102.085618443787,3102.3357903286815,3103.347649656236,left,1,0.4393691197037697,0.25,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,10,1,41,3,,,,,,,,,3103.323740437627,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,0.0073429495096206665,0.4889259487390518,,3105.8251157328486,test,3,,,,,,,,3103.347649656236,3103.8388548493385,3103.8388548493385,3103.855494208634,3104.0890648439527,3104.588413797319,3104.838538825512,3105.8428891301155,right,1,0.3487382307648659,0.25,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,10,2,42,2,,,,,,,,,3105.8257793337107,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,0.0011599212884902954,0.48980413377285004,,3108.3269242867827,test,3,,,,,,,,3105.8428891301155,3106.3415343016386,3106.3415343016386,3106.35815294832,3106.5918119624257,3107.0911768078804,3107.3412457704544,3108.343656733632,right,1,0.3951552137732506,0.25,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,10,3,43,2,,,,,,,,,3108.327376253903,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,0.0011809170246124268,0.48977161943912506,,3110.8313251808286,test,3,,,,,,,,3108.343656733632,3108.8430221676826,3108.8430221676826,3108.8430221676826,3109.0931606143713,3109.593867495656,3109.844024129212,3110.8503069132566,right,1,0.36122263967990875,0.25,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,11,0,44,3,,,,,,,,,3110.8317692279816,stop,squareblack.png,right,0.25,,,,,,,,,,,,,,,,,0.001351870596408844,0.48940765857696533,0.739770695567131,3113.3326778262854,test,3,,,,,,,,3110.8503069132566,3111.347138494253,3111.347138494253,3111.3637736961246,3111.597446091473,3112.096710398793,3112.3467563018203,3113.355495944619,right,1,0.41590438038110733,0.2,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,11,1,45,0,,,,,,,,,3113.333115503192,go,circleblack.png,left,0.2,,,,,,,,,,,,,,,,,0.007949508726596832,0.49104857444763184,,3115.8364970237017,test,3,,,,,,,,3113.355495944619,3113.850027039647,3113.850027039647,3113.86663851887,3114.048863105476,3114.5492898896337,3114.849522061646,3115.855987906456,left,1,0.3024742603302002,0.2,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,11,2,46,2,,,,,,,,,3115.8369415551424,go,squareblack.png,right,0.2,,,,,,,,,,,,,,,,,0.0017002075910568237,0.48967383801937103,,3118.3385777920485,test,3,,,,,,,,3115.855987906456,3116.352573685348,3116.352573685348,3116.3695685863495,3116.5528618991375,3117.052151031792,3117.3523451313376,3118.3579716682434,right,1,0.3270299732685089,0.2,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
None,None,,,,,,,,,2,0,2,0,11,3,47,1,,,,,,,,,3118.3392195776105,stop,circleblack.png,left,0.2,,,,,,,,,,,,,,,,,0.0027911216020584106,0.4873509854078293,0.6875466853380203,3120.8422025218606,test,3,,,,,,,,3118.3579716682434,3118.8539443984628,3118.8539443984628,3118.8706819042563,3119.054171413183,3119.554640248418,3119.8550737649202,3120.861819885671,left,1,0.3006807118654251,0.15,,,,,,,,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120.861819885671,3120.861819885671,return,2.7937911674380302,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",,,,,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123.6778304055333,3123.6778304055333,return,1.3016214072704315,s031,001,2024-08-19_10h01.23.651,simplestop_skeleton,2022.2.2,59.89557145032964,
