corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,2,0,2,0,8,3,35,3,,,,,,,,,3420.1406057476997,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,0.001813344657421112,0.4895007982850075,0.7896656170487404,3422.6428846120834,test,3,,,,,,,,,,3420.15762129426,3420.6562115997076,3420.6562115997076,3420.672784782946,3420.956476174295,3421.4569809287786,3421.6579514816403,3422.6594968289137,left,1,0.42065541446208954,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,9,0,36,2,,,,,,,,,3422.6433529555798,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,0.0012455806136131287,0.49064573645591736,,3425.145519800484,test,3,,,,,,,,,,3422.6594968289137,3423.1598819717765,3423.1598819717765,3423.1598819717765,3423.410863697529,3423.9262860044837,3424.1598277315497,3425.1622952893376,left,1,0.5567581504583359,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,9,1,37,0,,,,,,,,,3425.1459927633405,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,0.0012388676404953003,0.4897579178214073,,3427.6502882763743,test,3,,,,,,,,,,3425.1622952893376,3425.661540605128,3425.661540605128,3425.661540605128,3425.911811232567,3426.4123619794846,3426.662609040737,3427.6720082238317,left,1,0.6430662646889687,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,9,2,38,2,,,,,,,,,3427.650802694261,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,0.0025988593697547913,0.4859155863523483,,3430.1519938111305,test,3,,,,,,,,,,3427.6720082238317,3428.16438832134,3428.16438832134,3428.1809086874127,3428.4146152809262,3428.9154158607125,3429.1655279919505,3430.170151486993,right,1,0.5705958381295204,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,9,3,39,0,,,,,,,,,3430.1524425148964,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,0.0013391822576522827,0.48853494226932526,,3432.653792217374,test,3,,,,,,,,,,3430.170151486993,3430.666996665299,3430.666996665299,3430.6836791858077,3430.917340800166,3431.4179132580757,3431.669280230999,3432.6709571778774,right,1,0.585764117538929,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,10,0,40,3,,,,,,,,,3432.654239475727,stop,circleblack.png,left,0.25,,,,,,,,,,,,,,,0.0017855390906333923,0.4916877821087837,0.7419182658195496,3435.1567109897733,test,3,,,,,,,,,,3432.6709571778774,3433.171661429107,3433.171661429107,3433.171661429107,3433.421784557402,3433.9372878819704,3434.17094938457,3435.173416122794,left,1,0.4569074809551239,0.2,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,10,1,41,2,,,,,,,,,3435.1571743562818,stop,circleblack.png,left,0.2,,,,,,,,,,,,,,,0.0012572333216667175,0.4894583374261856,0.6903491839766502,3437.661502316594,test,3,,,,,,,,,,3435.173416122794,3435.672566719353,3435.672566719353,3435.672566719353,3435.8735660240054,3436.3735866844654,3436.67362844944,3437.682732194662,None,0,,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,10,2,42,0,,,,,,,,,3437.6620013192296,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,0.002205595374107361,0.48574909567832947,,3440.1625053733587,test,3,,,,,,,,,,3437.682732194662,3438.175382733345,3438.175382733345,3438.192069090903,3438.425807662308,3438.9276652261615,3439.176693379879,3440.1798837557435,left,1,0.5222576335072517,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,10,3,43,1,,,,,,,,,3440.162964835763,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,0.0016340464353561401,0.49093394726514816,,3442.6647280603647,test,3,,,,,,,,,,3440.1798837557435,3440.6799321994185,3440.6799321994185,3440.6799321994185,3440.9283798262477,3441.4289373382926,3441.6791658625007,3442.6814137399197,right,1,0.515565775334835,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,11,0,44,1,,,,,,,,,3442.6652019768953,go,squareblack.png,right,0.25,,,,,,,,,,,,,,,0.0011771619319915771,0.49161604046821594,,3445.1680536568165,test,3,,,,,,,,,,3442.6814137399197,3443.1819625347853,3443.1819625347853,3443.1819625347853,3443.4330730885267,3443.948452681303,3444.181938454509,3445.1863165572286,right,1,0.5408562868833542,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,11,1,45,3,,,,,,,,,3445.16852696985,go,circleblack.png,left,0.25,,,,,,,,,,,,,,,0.0019330978393554688,0.4888648986816406,,3447.6718851700425,test,3,,,,,,,,,,3445.1863165572286,3445.6836472973228,3445.6836472973228,3445.700245730579,3445.9340977296233,3446.436377219856,3446.684711456299,3447.6923921257257,left,1,0.45923930406570435,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,11,2,46,3,,,,,,,,,3447.6723507270217,stop,squareblack.png,right,0.25,,,,,,,,,,,,,,,0.002412743866443634,0.48732273280620575,0.7376372218132019,3450.1731660291553,test,3,,,,,,,,,,3447.6923921257257,3448.186388298869,3448.186388298869,3448.2031243294477,3448.4367872849107,3448.9372201934457,3449.1885625198483,3450.189873471856,right,1,0.4004613012075424,0.2,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
None,None,,,,,,,,,2,0,2,0,11,3,47,2,,,,,,,,,3450.1736052259803,stop,squareblack.png,right,0.2,,,,,,,,,,,,,,,0.0011662915349006653,0.4906294643878937,0.691539891064167,3452.676006734371,test,3,,,,,,,,,,3450.189873471856,3450.6909764260054,3450.6909764260054,3450.6909764260054,3450.8913856446743,3451.4065994098783,3451.690433166921,3452.6914036870003,None,0,,0.25,,,,,,,,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452.6914036870003,3452.6914036870003,return,2.287353627383709,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",,,,,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3455.010805875063,3455.010805875063,return,2.4966749399900436,s043,001,2024-09-27_16h09.25.137,simplestop_skeleton,2022.2.2,59.86915366502262,
