corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,fixation.stopped,goStim.started,goResp.started,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,6984.186976745725,go,squareblack.png,right,0.3,6984.206323817372,6984.206323817372,6984.719462424517,6984.702953435481,6984.702953435481,6985.003176368773,6985.502428285778,6985.703722894192,6986.705076731741,6986.721881188452,right,1,0.4392920210957527,6986.721881188452,6986.721881188452,,,0.0016519799828529358,0.490287683904171,0.7904553487896919,6987.2066145688295,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,6987.2070327326655,stop,circleblack.png,left,0.3,6987.226381577551,6987.226381577551,6987.739557750523,6987.723187834024,6987.723187834024,6988.023247905076,6988.5236612558365,6988.7240715920925,6989.7252066880465,6989.7252066880465,None,0,,6989.7252066880465,6989.7252066880465,6990.229392960668,6990.229392960668,0.001759059727191925,0.49036336690187454,0.7906705513596535,6990.209895938635,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,6990.210314542055,go,circleblack.png,left,0.35,6990.229392960668,6990.229392960668,6990.7428701892495,6990.726214155555,6990.726214155555,6991.076803870499,6991.577146977186,6991.727463789284,6992.728786028922,6992.745151028037,left,1,0.7973575741052628,6992.745151028037,6992.745151028037,6993.249935813248,6993.249935813248,0.001248471438884735,0.4902261421084404,0.8404600843787193,6993.229969933629,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,6993.230574630201,go,squareblack.png,right,0.35,6993.249935813248,6993.249935813248,6993.762871198356,6993.746319361031,6993.746319361031,6994.09663914144,6994.597058407962,6994.747333981097,6995.748506337404,6995.765004530549,right,1,0.45626574754714966,6995.765004530549,6995.765004530549,6996.269359208643,6996.269359208643,0.00170058012008667,0.4898036792874336,0.8404435440897942,6996.249929845333,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,6996.250339664519,stop,squareblack.png,right,0.35,6996.269359208643,6996.269359208643,6996.782879814506,6996.766402363777,6996.766402363777,6997.11655664444,6997.617188304663,6997.767309449613,6998.768329381943,6998.7853002771735,None,0,,6998.7853002771735,6998.7853002771735,,,0.0011830925941467285,0.48998698592185974,0.8405548855662346,6999.269730947912,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,3,2,14,2,,,,,,,,,,,,,,,,,6999.2701497823,stop,circleblack.png,left,0.4,6999.289698056877,6999.289698056877,6999.802912503481,6999.786064118147,6999.786064118147,7000.186757467687,7000.687150001526,7000.787226103246,7001.78837839514,7001.80515537411,left,1,0.6855155676603317,7001.80515537411,7001.80515537411,7002.30938179791,7002.30938179791,0.0018100962042808533,0.49029185622930527,0.8910790011286736,7002.289899036288,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,7002.29034486413,go,circleblack.png,left,0.35,7002.30938179791,7002.30938179791,7002.822763219476,7002.806085534394,7002.806085534394,7003.156728602946,7003.660198926926,7003.807365067303,7004.808242201805,7004.808242201805,left,1,0.7518114373087883,7004.808242201805,7004.808242201805,7005.313236199319,7005.313236199319,0.0012484118342399597,0.4901674836874008,0.8404292836785316,7005.293269902468,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
None,None,0,0,0,0,4,0,16,2,,,,,,,,,,,,,,,,,7005.293698064983,stop,squareblack.png,right,0.35,7005.313236199319,7005.313236199319,7005.826274082065,7005.809508688748,7005.809508688748,7006.15992180258,7006.66048476845,7006.810824804008,7007.811621725559,7007.828503385186,right,1,0.6520100682973862,7007.828503385186,7007.828503385186,7008.333102315664,7008.333102315664,0.0018521398305892944,0.49009357392787933,0.8404720053076744,7008.313309594989,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,1,17,0,,,,,,,,,,,,,,,,,7008.3137290254235,stop,circleblack.png,left,0.3,7008.333102315664,7008.333102315664,7008.846206046641,7008.829621240497,7008.829621240497,7009.129845395684,7009.630488194525,7009.8307810127735,7010.831916891038,7010.848448470235,None,0,,7010.848448470235,7010.848448470235,7011.353318318725,7011.353318318725,0.001720234751701355,0.4900119677186012,0.7901397496461868,7011.333550564945,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,7011.33399219811,go,squareblack.png,right,0.35,7011.353318318725,7011.353318318725,7011.866468816996,7011.84978530556,7011.84978530556,7012.1998641341925,7012.699275538325,7012.8499462381005,7013.8518439382315,7013.868335455656,right,1,1.0110161378979683,7013.868335455656,7013.868335455656,,,0.0017133504152297974,0.48986221849918365,0.8403039872646332,7014.353333055973,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s027,001,2024-08-12_16h11.34.137,simplestop_skeleton,2022.2.2,60.143088484563435,
