corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,3,,,,,,,,,,,,,,,,,551.975375212729,stop,squareblack.png,right,0.25,551.9950010702014,551.9950010702014,552.4915883801877,552.4915883801877,552.5079140514135,552.7416554614902,553.2420321851969,553.4923268705606,554.4937075972557,554.5101124569774,right,1,0.42573701962828636,554.5101124569774,554.5101124569774,0.0017297528684139252,0.49035317078232765,0.7405218258500099,554.9949155375361,practice,1,555.0148053653538,555.0148053653538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,554.9953489862382,go,circleblack.png,left,0.2,555.0148053653538,555.0148053653538,555.5117693394423,555.5117693394423,555.5278769694269,555.7117779515684,556.2121254466474,556.512287452817,557.5134220570326,557.5302251763642,left,1,0.5145980045199394,557.5302251763642,557.5302251763642,0.001749470829963684,0.4903130792081356,0.6904639862477779,558.0148075856268,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,2,3,11,1,,,,,,,,,,,,,,,,,558.0152476876974,stop,circleblack.png,left,0.2,558.0342348329723,558.0342348329723,558.5314170345664,558.5314170345664,558.5479065738618,558.731415938586,559.2319898717105,559.5324578024447,560.5334369465709,560.5334369465709,left,1,0.4918743409216404,560.5334369465709,560.5334369465709,0.001245841383934021,0.49062564224004745,0.6905829049646854,561.0186135172844,practice,1,561.0380160436034,561.0380160436034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,561.0190369747579,go,circleblack.png,left,0.15,561.0380160436034,561.0380160436034,561.5348477326334,561.5348477326334,561.55163673684,561.6847140006721,562.1875660791993,562.5356257781386,563.5369134172797,563.5535500273108,left,1,0.5810688845813274,563.5535500273108,563.5535500273108,0.001295626163482666,0.4897444397211075,0.6400386244058609,564.0385570600629,practice,1,564.0582164824009,564.0582164824009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,564.0389989092946,go,squareblack.png,right,0.15,564.0582164824009,564.0582164824009,564.554870840162,564.554870840162,564.5716011933982,564.704669687897,565.2055454999208,565.5560740716755,566.5568934381008,566.5733912587166,right,1,0.41943710297346115,566.5733912587166,566.5733912587166,0.0016488805413246155,0.48982037603855133,0.6404417380690575,567.0582359954715,practice,1,567.077737364918,567.077737364918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,3,2,14,2,,,,,,,,,,,,,,,,,567.0586570613086,stop,squareblack.png,right,0.15,567.077737364918,567.077737364918,567.5747055709362,567.5747055709362,567.5913638323545,567.7247076556087,568.225284576416,568.5758235380054,569.5771753452718,569.5771753452718,None,0,,569.5771753452718,569.5771753452718,0.0012820810079574585,0.4901477135717869,0.6407001130282879,570.0614641979337,practice,1,570.0808504186571,570.0808504186571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,570.0618872158229,stop,squareblack.png,right,0.2,570.0808504186571,570.0808504186571,570.5777782276273,570.5777782276273,570.5948060713708,570.778401453048,571.278598356992,571.5790676400065,572.5800015740097,572.5800015740097,None,0,,572.5800015740097,572.5800015740097,0.0012051835656166077,0.4901403561234474,0.6903927363455296,573.0647567287087,practice,1,573.0847790203989,573.0847790203989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,573.0651859268546,go,circleblack.png,left,0.25,573.0847790203989,573.0847790203989,573.5809368304908,573.5809368304908,573.5978232547641,573.8314756415784,574.3320189267397,574.5817593336105,575.5832044705749,575.6001689471304,left,1,0.5301124751567841,575.6001689471304,575.6001689471304,0.0017699189484119415,0.4898926727473736,0.7403299324214458,576.0847634151578,practice,1,576.1043832600117,576.1043832600117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,1,17,0,,,,,,,,,,,,,,,,,576.0851850993931,go,circleblack.png,left,0.25,576.1043832600117,576.1043832600117,576.601335119456,576.601335119456,576.6178408972919,576.8515571467578,577.3522179238498,577.6024182103574,578.6038517467678,578.620279263705,left,1,0.49686769396066666,578.620279263705,578.620279263705,0.0012396648526191711,0.49032481014728546,0.7407167218625546,579.1049744859338,practice,1,579.1249553225935,579.1249553225935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,579.1054189987481,go,squareblack.png,right,0.25,579.1249553225935,579.1249553225935,579.6211396642029,579.6211396642029,579.6380373425782,579.8716142810881,580.3706078492105,580.6220279335976,581.6236124709249,581.6400407031178,right,1,0.45130186900496483,581.6400407031178,581.6400407031178,0.001650933176279068,0.49001432955265045,0.7403303794562817,582.1249353773892,practice,1,582.1447660252452,582.1447660252452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s006,001,2024-06-21_16h59.02.901,simplestop_skeleton,2022.2.2,59.95102219630147,
