corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,1,0,1,0,9,2,38,1,,,,,,,,,3542.5874986574054,stop,squareblack.png,right,0.55,,,,,,,,,,,,,,,,0.001279149204492569,0.4897899329662323,1.0402923300862312,3545.089874610305,test,2,,,,,,,,,3542.6057140380144,3543.1199397705495,3543.1030110269785,3543.1030110269785,3543.6539194509387,3544.1542337462306,3544.104118142277,3545.1093567423522,right,1,0.5,0.5412301868200302,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,9,3,39,0,,,,,,,,,3545.090315014124,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,0.0019358955323696136,0.4893827624619007,,3547.5923438072205,test,2,,,,,,,,,3545.1093567423522,3545.6225755140185,3545.6057863123715,3545.6057863123715,3546.106380008161,3546.6062018461525,3546.6062018461525,3547.611486032605,left,1,0.5,0.46798236668109894,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,1,0,1,0,10,0,40,3,,,,,,,,,3547.592788979411,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,0.0012862533330917358,0.489660881459713,,3550.0953858196735,test,2,,,,,,,,,3547.611486032605,3548.125661663711,3548.10845804587,3548.10845804587,3548.6089911200106,3549.1095004342496,3549.1095004342496,3550.11439909786,left,1,0.5,0.5681808032095432,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,1,0,1,0,10,1,41,3,,,,,,,,,3550.095817606896,stop,circleblack.png,left,0.5,,,,,,,,,,,,,,,,0.0013873763382434845,0.4894249327480793,0.9898488223552704,3552.598767157644,test,2,,,,,,,,,3550.11439909786,3550.627886775881,3550.611224401742,3550.611224401742,3551.111688300967,3551.6123905330896,3551.6123905330896,3552.6171996220946,left,1,0.45,0.6242493577301502,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,10,2,42,0,,,,,,,,,3552.599201951176,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,,0.0013420209288597107,0.489092443138361,,3555.1006914041936,test,2,,,,,,,,,3552.6171996220946,3553.1308892183006,3553.114170230925,3553.114170230925,3553.5645394697785,3554.0651230327785,3554.115459460765,3555.1200005821884,left,1,0.45,0.8619519099593163,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,10,3,43,0,,,,,,,,,3555.1011201143265,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.001657739281654358,0.4900677092373371,,3557.6035535745323,test,2,,,,,,,,,3555.1200005821884,3555.6335987448692,3555.616780806333,3555.616780806333,3556.0674361921847,3556.5677553266287,3556.6179573722184,3557.6224069409072,right,1,0.45,0.6758545599877834,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,11,0,44,0,,,,,,,,,3557.603978615254,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.001247793436050415,0.4896622970700264,,3560.1064524427056,test,2,,,,,,,,,3557.6224069409072,3558.1362198255956,3558.119845330715,3558.119845330715,3558.5702804476023,3559.0707895234227,3559.120662357658,3560.125830296427,right,1,0.45,0.6926685757935047,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,1,0,1,0,11,1,45,1,,,,,,,,,3560.1068829260767,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.0013395249843597412,0.4898073449730873,,3562.6091737262905,test,2,,,,,,,,,3560.125830296427,3560.6390407904983,3560.622364036739,3560.622364036739,3561.0729819461703,3561.5733931027353,3561.623583547771,3562.6281368993223,right,1,0.45,0.6114638485014439,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,1,0,1,0,11,2,46,1,,,,,,,,,3562.609614275396,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.0013856738805770874,0.48959504440426826,,3565.112071827054,test,2,,,,,,,,,3562.6281368993223,3563.141809500754,3563.125105306506,3563.125105306506,3563.5758237726986,3564.076152201742,3564.1264678500593,3565.131507437676,right,1,0.45,0.6378000192344189,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,1,0,1,0,11,3,47,1,,,,,,,,,3565.112508572638,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,,0.0019401311874389648,0.4895264208316803,,3567.614617805928,test,2,,,,,,,,,3565.131507437676,3565.6444193199277,3565.6278990618885,3565.6278990618885,3566.078627549112,3566.578893825412,3566.628962237388,3567.6303724236786,left,1,0.45,0.6186060421168804,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
