corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,0,0,0,0,8,2,34,3,,,,,,,,,797.8096981048584,go,squareblack.png,right,0.65,,,,,,,,,,,,,,,,,,0.0017367489635944366,0.4893728718161583,,800.3106680810452,test,1,,,,,,,797.8284695968032,798.3249317109585,798.3249317109585,798.3417713716626,798.9757360741496,799.4916296452284,799.3265955001116,800.328199736774,right,1,0.65,0.8141034096479416,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,8,3,35,3,,,,,,,,,800.3111058138311,go,circleblack.png,left,0.65,,,,,,,,,,,,,,,,,,0.0017593242228031158,0.48924924433231354,,802.8130545914173,test,1,,,,,,,800.328199736774,800.8263237290084,800.8263237290084,800.842995904386,801.4773772507906,801.9774827696383,801.8273886851966,802.8298289477825,left,1,0.65,0.778070542961359,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,9,0,36,3,,,,,,,,,802.8135074935853,stop,circleblack.png,left,0.65,,,,,,,,,,,,,,,,,,0.001220937818288803,0.4898585416376591,1.1403393037617207,805.3167533278465,test,1,,,,,,,802.8298289477825,803.3292090184987,803.3292090184987,803.3292090184987,803.9798845387995,804.4805154539645,804.330348610878,805.3359815627337,None,0,0.7,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,9,1,37,1,,,,,,,,,805.3172079473734,go,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.0018061697483062744,0.4900163747370243,,807.8184540420771,test,1,,,,,,,805.3359815627337,805.8334375657141,805.8334375657141,805.8501156754792,806.5342459715903,807.0500480979681,806.8347302861512,807.8356279172003,right,1,0.7,0.8683956302702427,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,9,2,38,2,,,,,,,,,807.8188813999295,stop,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.0012309588491916656,0.48984745144844055,1.1910454668104649,810.3231197297573,test,1,,,,,,,807.8356279172003,808.3346307091415,808.3346307091415,808.3513755276799,809.0356831550598,809.5358786359429,809.3357988856733,810.3407323099673,right,1,0.65,0.5756690800189972,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,9,3,39,0,,,,,,,,,810.3236498311162,go,circleblack.png,left,0.65,,,,,,,,,,,,,,,,,,0.0025055482983589172,0.48774656280875206,,812.8248686976731,test,1,,,,,,,810.3407323099673,810.8373823538423,810.8373823538423,810.8541189171374,811.4882154688239,811.9888497516513,811.8385746479034,812.8424551934004,left,1,0.65,0.9019948914647102,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,10,0,40,0,,,,,,,,,812.8253106363118,stop,circleblack.png,left,0.65,,,,,,,,,,,,,,,,,,0.0012787915766239166,0.49027448892593384,1.1410501673817635,815.3285597227514,test,1,,,,,,,812.8424551934004,813.3416826203465,813.3416826203465,813.3582114167511,813.9922520145774,814.4932332262397,814.342700753361,815.3480317443609,None,0,0.7,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,10,1,41,2,,,,,,,,,815.329010926187,go,circleblack.png,left,0.7,,,,,,,,,,,,,,,,,,0.0014209896326065063,0.4892827533185482,,817.8298967704177,test,1,,,,,,,815.3480317443609,815.8445562981069,815.8445562981069,815.861696369946,816.5451984554529,817.0461272932589,816.8455996252596,817.8477578498423,left,1,0.7,0.9398312978446484,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,10,2,42,0,,,,,,,,,817.830332737416,go,circleblack.png,left,0.7,,,,,,,,,,,,,,,,,,0.0013044476509094238,0.48921892046928406,,820.3347991965711,test,1,,,,,,,817.8477578498423,818.3457583785057,818.3457583785057,818.3624638877809,819.0466721691191,819.5470768921077,819.3469579704106,820.3573500141501,left,1,0.7,1.018302045762539,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,10,3,43,2,,,,,,,,,820.3353877924383,go,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.0023583248257637024,0.4838292971253395,,822.8352874442935,test,1,,,,,,,820.3573500141501,820.8484012149274,820.8484012149274,820.865184430033,821.5491985455155,822.0503974109888,821.8495146259665,822.8518888279796,right,1,0.7,0.8685690388083458,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
