corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,1714.093344680965,stop,circleblack.png,left,0.2,1714.1104876101017,1714.1104876101017,1714.6097154691815,1714.6097154691815,1714.6097154691815,1714.809956908226,1715.310579098761,1715.6110293194652,1716.612026937306,1716.612026937306,None,0,,1716.612026937306,1716.612026937306,0.001309908926486969,0.49047674238681793,0.6906179636716843,1717.0969332456589,practice,1,1717.1168914958835,1717.1168914958835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,2,2,10,3,,,,,,,,,,,,,,,,,1717.097378090024,go,squareblack.png,right,0.25,1717.1168914958835,1717.1168914958835,1717.6133807897568,1717.6133807897568,1717.6299212798476,1717.8633622154593,1718.3640158250928,1718.6146846339107,1719.614105001092,1719.6308255568147,right,1,0.7860835492610931,1719.6308255568147,1719.6308255568147,0.001699686050415039,0.49005643278360367,0.7402351796627045,1720.1156055107713,practice,1,1720.1330552771688,1720.1330552771688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,1720.1160514056683,go,squareblack.png,right,0.25,1720.1330552771688,1720.1330552771688,1720.6316912546754,1720.6316912546754,1720.6484370157123,1720.8820106238127,1721.38273614645,1721.6327744796872,1722.6355851143599,1722.6355851143599,right,1,0.8085876926779747,1722.6355851143599,1722.6355851143599,0.0011740922927856445,0.4895402416586876,0.7398143783211708,1723.1201856285334,practice,1,1723.1398192197084,1723.1398192197084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,3,0,12,3,,,,,,,,,,,,,,,,,1723.1206471398473,go,squareblack.png,right,0.25,1723.1398192197084,1723.1398192197084,1723.6363583952188,1723.6363583952188,1723.6531707942486,1723.886566489935,1724.3872493356466,1724.6378708779812,1725.6372889578342,1725.6539651528,right,1,0.7852754592895508,1725.6539651528,1725.6539651528,0.001196838915348053,0.4899633601307869,0.7401563003659248,1726.1386613473296,practice,1,1726.1615068763494,1726.1615068763494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,1726.1390939205885,go,circleblack.png,left,0.25,1726.1615068763494,1726.1615068763494,1726.656857304275,1726.656857304275,1726.6734893992543,1726.905293829739,1727.4060694873333,1727.6559885442257,1728.6586192324758,1728.6755115538836,left,1,0.6315428167581558,1728.6755115538836,1728.6755115538836,0.007547803223133087,0.4920160546898842,0.7403938248753548,1729.1599618792534,practice,1,1729.179581142962,1729.179581142962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,3,2,14,3,,,,,,,,,,,,,,,,,1729.160389751196,stop,circleblack.png,left,0.25,1729.179581142962,1729.179581142962,1729.6764863356948,1729.6764863356948,1729.6930409371853,1729.9265684336424,1730.4258991330862,1730.6760252788663,1731.67717217654,1731.6938395500183,left,1,0.4046936333179474,1731.6938395500183,1731.6938395500183,0.0012594163417816162,0.49000754207372665,0.7402577847242355,1732.179093465209,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,1732.1795286685228,stop,circleblack.png,left,0.2,1732.1972502619028,1732.1972502619028,1732.6951308771968,1732.6951308771968,1732.711764536798,1732.8952332362533,1733.3958528637886,1733.6960501223803,1734.6984819173813,1734.6984819173813,None,0,,1734.6984819173813,1734.6984819173813,0.0012620314955711365,0.48971302807331085,0.689866878092289,1735.18332413584,practice,1,1735.203295096755,1735.203295096755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,4,0,16,2,,,,,,,,,,,,,,,,,1735.1837554648519,go,circleblack.png,left,0.25,1735.203295096755,1735.203295096755,1735.7000795528293,1735.7000795528293,1735.7165230810642,1735.950239636004,1736.4509618282318,1736.6996500343084,1737.7004918903112,1737.7172891646624,left,1,0.5694080293178558,1737.7172891646624,1737.7172891646624,0.0013302266597747803,0.4900966286659241,0.7406647354364395,1738.2032338380814,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,1738.2036721259356,stop,squareblack.png,right,0.25,1738.223253518343,1738.223253518343,1738.720030322671,1738.720030322671,1738.7368039414287,1738.9703030660748,1739.470712043345,1739.721037350595,1740.7218577861786,1740.738707318902,None,0,,1740.738707318902,1740.738707318902,0.004621908068656921,0.4903718829154968,0.7406194657087326,1741.2234435006976,practice,1,1741.2433992698789,1741.2433992698789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
None,None,0,0,0,0,4,2,18,1,,,,,,,,,,,,,,,,,1741.2238878309727,go,circleblack.png,left,0.3,1741.2433992698789,1741.2433992698789,1741.7397507280111,1741.7397507280111,1741.7564219385386,1742.040418945253,1742.541084088385,1742.7396600171924,1743.740551583469,1743.7572187408805,left,1,0.6117624193429947,1743.7572187408805,1743.7572187408805,0.0017269700765609741,0.4898771569132805,0.7901792824268341,1744.2420273199677,practice,1,1744.2620058357716,1744.2620058357716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s042,001,2024-09-27_10h57.32.864,simplestop_skeleton,2022.2.2,59.855481038932496,
