corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",3033.4339286088943,3033.4339286088943,return,2.512971308082342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,3035.9886193461716,3035.9886193461716,3124.8102576322854,stop,squareblack.png,right,0.35,3124.8311273530126,3124.8311273530126,3125.323799714446,3125.323799714446,3125.3406259305775,3125.674011025578,3126.174722671509,3126.3250091932714,3127.3256361931562,3127.343657653779,right,1,0.7819625325500965,3127.343657653779,3127.343657653779,3127.84835633263,3127.84835633263,0.002897597849369049,0.4870505817234516,0.8373967967927456,3127.8271989002824,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,3127.8277490250766,go,circleblack.png,left,0.3,3127.84835633263,3127.84835633263,3128.343482352793,3128.343482352793,3128.3601114936173,3128.643804870546,3129.142989654094,3129.343314629048,3130.345849376172,3130.362313132733,left,1,0.40459832549095154,3130.362313132733,3130.362313132733,3130.8672089464962,3130.8672089464962,0.0034320615231990814,0.4896731488406658,0.7900723740458488,3130.8472646549344,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,3130.8476883023977,stop,circleblack.png,left,0.3,3130.8672089464962,3130.8672089464962,3131.363426502794,3131.363426502794,3131.380076047033,3131.6636808402836,3132.163034334779,3132.3632563613355,3133.3660200946033,3133.3824451714754,left,1,0.3452916145324707,3133.3824451714754,3133.3824451714754,3133.8873644545674,3133.8873644545674,0.001364968717098236,0.48992516845464706,0.789955623447895,3133.8673847056925,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,3133.8678053468466,go,squareblack.png,right,0.25,3133.8873644545674,3133.8873644545674,3134.3835908919573,3134.3835908919573,3134.400241471827,3134.6340270228684,3135.133241262287,3135.3831649273634,3136.385733690113,3136.4027194455266,right,1,0.4513561986386776,3136.4027194455266,3136.4027194455266,3136.9071522168815,3136.9071522168815,0.0017429180443286896,0.4902273900806904,0.7404014803469181,3136.887171551585,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,3136.8876086212695,go,circleblack.png,left,0.25,3136.9071522168815,3136.9071522168815,3137.403575897217,3137.403575897217,3137.4201606959105,3137.653775062412,3138.1542896814644,3138.403134930879,3139.4052997268736,3139.421834498644,left,1,0.48386702686548233,3139.421834498644,3139.421834498644,,,0.0018323585391044617,0.49000687897205353,0.7402539402246475,3139.906881503761,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,3139.9073008969426,go,circleblack.png,left,0.25,3139.92675338313,3139.92675338313,3140.4236180335283,3140.4236180335283,3140.4400446787477,3140.6740974597633,3141.1898240223527,3141.4231626838446,3142.4259304068983,3142.4259304068983,right,0,0.04459157586097717,3142.4259304068983,3142.4259304068983,,,0.0012989155948162079,0.49041371047496796,0.7407356575131416,3142.910683054477,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,3142.9111041799188,stop,squareblack.png,right,0.25,3142.9304771907628,3142.9304771907628,3143.426858533174,3143.426858533174,3143.4436738044024,3143.6773774921894,3144.1781987808645,3144.4265309795737,3145.4284542240202,3145.4454154372215,right,1,0.5247616730630398,3145.4454154372215,3145.4454154372215,,,0.0017375163733959198,0.4900188781321049,0.7400600761175156,3145.9304675906897,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,3145.9308934137225,go,squareblack.png,right,0.2,3145.95001873374,3145.95001873374,3146.4468823485076,3146.4468823485076,3146.4635930135846,3146.6470312587917,3147.1479648202658,3147.448833204806,3148.448606673628,3148.4650974571705,right,1,0.586069330573082,3148.4650974571705,3148.4650974571705,,,0.0012580975890159607,0.48992856591939926,0.690413948148489,3148.9506395086646,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
None,None,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,3148.951091900468,go,squareblack.png,right,0.2,3148.9704495742917,3148.9704495742917,3149.4671400263906,3149.4671400263906,3149.483653843403,3149.6670774519444,3150.1662217266858,3150.4665296040475,3151.469076965004,3151.4858880378306,right,1,0.36057259514927864,3151.4858880378306,3151.4858880378306,3151.9965492226183,3151.9965492226183,0.0012747906148433685,0.4900400899350643,0.6902185715734959,3151.970702253282,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s017,001,2024-07-22_17h45.01.681,simplestop_skeleton,2022.2.2,59.885107615096786,
