Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,right,0.7819625325500965,0.35,stop
1.0,practice,left,circleblack.png,left,0.4045983254909515,0.3,go
1.0,practice,left,circleblack.png,left,0.3452916145324707,0.3,stop
1.0,practice,right,squareblack.png,right,0.4513561986386776,0.25,go
1.0,practice,left,circleblack.png,left,0.4838670268654823,0.25,go
1.0,practice,left,circleblack.png,right,0.0445915758609771,0.25,go
1.0,practice,right,squareblack.png,right,0.5247616730630398,0.25,stop
1.0,practice,right,squareblack.png,right,0.586069330573082,0.2,go
1.0,practice,right,squareblack.png,right,0.3605725951492786,0.2,go
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,right,0.4558868557214737,0.25,go
1.0,practice,left,circleblack.png,left,0.5304644592106342,0.25,go
1.0,practice,right,squareblack.png,right,0.4724993519484997,0.25,stop
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,right,0.4510927237570286,0.25,go
1.0,practice,right,squareblack.png,right,0.7019252292811871,0.25,go
1.0,practice,right,squareblack.png,right,0.4167072400450706,0.25,go
1.0,practice,right,squareblack.png,right,0.4705729112029075,0.25,go
1.0,practice,left,circleblack.png,left,0.4732553288340568,0.25,go
1.0,practice,left,circleblack.png,left,0.4347955770790577,0.25,go
1.0,practice,right,squareblack.png,right,0.3986746966838836,0.25,stop
1.0,practice,left,circleblack.png,left,0.4845158010721206,0.2,go
1.0,practice,left,circleblack.png,right,0.7437534555792809,0.2,go
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,test,right,squareblack.png,right,0.4470238275825977,0.25,stop
1.0,test,left,circleblack.png,left,0.4349098429083824,0.2,go
1.0,test,right,squareblack.png,right,0.540031585842371,0.2,go
1.0,test,right,squareblack.png,right,0.4383063204586506,0.2,go
1.0,test,left,circleblack.png,left,0.4096558876335621,0.2,go
1.0,test,left,circleblack.png,,,0.2,stop
1.0,test,right,squareblack.png,right,0.5070379748940468,0.25,go
1.0,test,left,circleblack.png,,,0.25,stop
1.0,test,left,circleblack.png,left,0.4684060662984848,0.3,go
1.0,test,right,squareblack.png,right,0.4176554456353187,0.3,go
1.0,test,left,circleblack.png,left,0.5348930768668652,0.3,go
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,right,squareblack.png,right,0.5602478571236134,0.4,go
1.0,test,left,circleblack.png,left,0.5263126716017723,0.4,stop
1.0,test,right,squareblack.png,right,0.6841617934405804,0.35,go
1.0,test,left,circleblack.png,left,0.4946776442229748,0.35,go
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,right,squareblack.png,right,0.5569649934768677,0.4,go
1.0,test,right,squareblack.png,right,0.568077627569437,0.4,go
1.0,test,left,circleblack.png,left,0.6334952041506767,0.4,go
1.0,test,left,circleblack.png,left,0.4234322495758533,0.4,stop
1.0,test,left,circleblack.png,left,0.6239439882338047,0.35,go
1.0,test,left,circleblack.png,left,0.704741831868887,0.35,go
1.0,test,left,circleblack.png,left,0.4067849330604076,0.35,go
1.0,test,left,circleblack.png,left,0.4175218641757965,0.35,go
