corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]","[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",356.1074497811496,356.1074497811496,return,1.6848565004765987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,357.833563875407,357.833563875407,463.6228817105293,go,squareblack.png,right,0.35,463.6464786976576,463.6464786976576,464.13479095697403,464.13479095697403,464.15197851136327,464.4855307638645,464.9858516007662,465.13612846285105,466.13720804080367,466.15623857080936,None,0,466.15623857080936,466.15623857080936,0.002743825316429138,0.4853033013641834,0.835789330303669,466.6554608680308,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,466.6559936031699,stop,squareblack.png,right,0.35,466.6752159073949,466.6752159073949,467.17188921943307,467.17188921943307,467.1882034242153,467.52211690321565,468.0215568691492,468.1713220439851,469.17218493297696,469.18903183564544,right,1,469.18903183564544,469.18903183564544,0.0012922585010528564,0.4895894043147564,0.8399390354752541,469.6737567894161,practice,1,0.47309141606092453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,469.6741889975965,go,circleblack.png,left,0.3,469.6976618357003,469.6976618357003,470.190050534904,470.190050534904,470.2067582421005,470.4903165772557,470.99091812595725,471.1911815106869,472.19225234538317,472.2089825235307,left,1,472.2089825235307,472.2089825235307,0.008086081594228745,0.4899190403521061,0.7901954054832458,472.69375532120466,practice,1,0.4128170423209667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,472.69418505579233,go,squareblack.png,right,0.3,472.7120082266629,472.7120082266629,473.2100423723459,473.2100423723459,473.2266688682139,473.51044081896544,474.0108819119632,474.21146089956164,475.2122111655772,475.2122111655772,right,1,475.2122111655772,475.2122111655772,0.0017386674880981445,0.4899980463087559,0.7902170494198799,475.69700641557574,practice,1,0.350836843252182,475.7147761322558,475.7147761322558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,475.6974621601403,stop,squareblack.png,right,0.3,475.7147761322558,475.7147761322558,476.213509503752,476.213509503752,476.23015097901225,476.5136684179306,477.0142614431679,477.2167018428445,478.21569579839706,478.21569579839706,right,1,478.21569579839706,478.21569579839706,0.0012370198965072632,0.49014704674482346,0.790292289108038,478.70060474425554,practice,1,0.3871281370520592,478.71875789761543,478.71875789761543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,1,5,0,,,,,,,,,,,,,,,,,478.7010617442429,go,squareblack.png,right,0.25,478.71875789761543,478.71875789761543,479.21687238663435,479.21687238663435,479.2335198074579,479.46696258336306,479.96749091520905,480.2184398211539,481.2189635038376,481.2189635038376,right,1,481.2189635038376,481.2189635038376,0.0011745616793632507,0.4889743812382221,0.739057183265686,481.7036818638444,practice,1,0.6063189283013344,481.722812179476,481.722812179476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,481.7041058242321,stop,circleblack.png,left,0.25,481.722812179476,481.722812179476,482.2201816365123,482.2201816365123,482.236848462373,482.4705402739346,482.97089960053563,483.2211260981858,484.22217770293355,484.22217770293355,None,0,484.22217770293355,484.22217770293355,0.0025081858038902283,0.49021636694669724,0.740407407283783,484.7071581929922,practice,1,,484.72638608142734,484.72638608142734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,484.70758267119527,go,circleblack.png,left,0.3,484.72638608142734,484.72638608142734,485.2233993895352,485.2233993895352,485.24004830792546,485.52381409332156,486.0241747498512,486.22438759356737,487.2254346124828,487.2254346124828,left,1,487.2254346124828,487.2254346124828,0.0014710091054439545,0.4890005514025688,0.7893698997795582,487.71026223525405,practice,1,0.48469431698322296,487.72826167568564,487.72826167568564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
None,None,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,487.71078821644187,stop,circleblack.png,left,0.3,487.72826167568564,487.72826167568564,488.2267256490886,488.2267256490886,488.2435038499534,488.5272627286613,489.02750469371676,489.22772623226047,490.22885239496827,490.22885239496827,None,0,490.22885239496827,490.22885239496827,0.0015659332275390625,0.49007242918014526,0.79042898863554,490.7136556468904,practice,1,,490.73126385733485,490.73126385733485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s024,001,2024-08-05_09h20.22.529,simplestop_skeleton,2022.2.2,60.14871620739568,
