Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,right,squareblack.png,left,0.5281721688807011,0.35,go
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,right,squareblack.png,,,0.35,stop
1.0,practice,left,circleblack.png,right,0.2168666534125805,0.4,go
1.0,practice,right,squareblack.png,right,0.4642261303961277,0.4,go
1.0,practice,right,squareblack.png,right,0.5280992984771729,0.4,stop
1.0,practice,left,circleblack.png,left,0.3844272941350937,0.35,stop
1.0,practice,left,circleblack.png,left,0.5845815502107143,0.3,go
1.0,practice,left,circleblack.png,left,0.5095771551132202,0.3,go
1.0,practice,left,circleblack.png,left,0.5594588033854961,0.3,go
1.0,practice,left,circleblack.png,left,0.4597694836556911,0.3,stop
1.0,practice,right,squareblack.png,right,0.6679258830845356,0.25,go
1.0,practice,left,circleblack.png,left,0.675482876598835,0.25,stop
1.0,practice,left,circleblack.png,right,0.3555743806064129,0.2,go
1.0,practice,right,squareblack.png,right,0.5200605280697346,0.2,go
1.0,practice,right,squareblack.png,right,0.5331707410514355,0.2,go
1.0,practice,left,circleblack.png,left,0.5846550352871418,0.2,stop
1.0,practice,right,squareblack.png,,,0.15,stop
1.0,practice,right,squareblack.png,right,0.2907449416816234,0.2,stop
1.0,practice,right,squareblack.png,right,0.5316056124866009,0.15,go
1.0,practice,left,circleblack.png,left,0.5906711705029011,0.15,go
1.0,practice,left,circleblack.png,left,0.5276066698133945,0.15,go
1.0,practice,left,circleblack.png,left,0.3522839173674583,0.15,go
1.0,test,left,circleblack.png,left,0.5887383781373501,0.15,go
1.0,test,right,squareblack.png,right,0.4313577674329281,0.15,go
1.0,test,right,squareblack.png,right,0.4175435900688171,0.15,go
1.0,test,left,circleblack.png,left,0.4557470232248306,0.15,go
1.0,test,left,circleblack.png,left,0.4096072502434253,0.15,go
1.0,test,right,squareblack.png,right,0.5255001746118069,0.15,go
1.0,test,right,squareblack.png,right,0.3755181282758713,0.15,stop
1.0,test,left,circleblack.png,,,0.1,stop
1.0,test,right,squareblack.png,right,0.53603345900774,0.15,go
1.0,test,left,circleblack.png,,,0.15,stop
1.0,test,left,circleblack.png,left,0.4982057400047779,0.2,go
1.0,test,right,squareblack.png,,,0.2,stop
1.0,test,left,circleblack.png,left,0.3954321630299091,0.25,go
1.0,test,left,circleblack.png,left,0.6132148131728172,0.25,go
1.0,test,right,squareblack.png,right,0.6461548432707787,0.25,go
1.0,test,right,squareblack.png,right,0.5562317930161953,0.25,go
1.0,test,left,circleblack.png,,,0.25,stop
1.0,test,right,squareblack.png,right,0.5344021432101727,0.3,stop
1.0,test,left,circleblack.png,left,0.567274272441864,0.25,go
1.0,test,left,circleblack.png,,,0.25,stop
1.0,test,left,circleblack.png,left,0.4981595277786255,0.3,go
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,right,squareblack.png,right,0.6580548621714115,0.35,go
1.0,test,right,squareblack.png,right,0.3893445916473865,0.35,go
1.0,test,left,circleblack.png,left,0.4580287560820579,0.35,go
1.0,test,right,squareblack.png,right,0.4813361652195453,0.35,go
1.0,test,right,squareblack.png,right,0.5265913121402264,0.35,go
1.0,test,left,circleblack.png,left,0.4206120185554027,0.35,go
1.0,test,left,circleblack.png,left,0.6435930095613003,0.35,go
1.0,test,right,squareblack.png,right,0.5605641156435013,0.35,go
1.0,test,left,circleblack.png,left,0.5085088200867176,0.35,go
1.0,test,right,squareblack.png,right,0.4206618182361126,0.35,go
1.0,test,left,circleblack.png,left,0.4886094145476818,0.35,stop
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.425023004412651,0.35,stop
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.5221608616411686,0.35,go
1.0,test,right,squareblack.png,right,0.8037276789546013,0.35,go
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,left,circleblack.png,left,0.5311836488544941,0.4,go
1.0,test,right,squareblack.png,right,0.7845822609961033,0.4,go
1.0,test,left,circleblack.png,left,0.4595646373927593,0.4,stop
1.0,test,left,circleblack.png,left,0.7333371676504612,0.35,go
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,right,squareblack.png,right,0.7032087408006191,0.4,go
1.0,test,right,squareblack.png,right,0.7272078953683376,0.4,go
1.0,test,left,circleblack.png,left,0.6833846122026443,0.4,go
1.0,test,left,circleblack.png,,,0.4,stop
2.0,test,right,squareblack.png,,,0.45,stop
2.0,test,right,squareblack.png,right,0.4046935252845287,0.5,go
2.0,test,left,circleblack.png,left,0.4174725152552128,0.5,go
2.0,test,left,circleblack.png,left,0.5513717867434025,0.5,stop
2.0,test,left,circleblack.png,left,0.8483252935111523,0.45,go
2.0,test,left,circleblack.png,,,0.45,stop
2.0,test,right,squareblack.png,right,0.538576278835535,0.5,stop
2.0,test,right,squareblack.png,right,0.9416336305439472,0.45,go
2.0,test,left,circleblack.png,left,0.8572788722813129,0.45,go
2.0,test,right,squareblack.png,right,0.7740526385605335,0.45,go
2.0,test,right,squareblack.png,right,0.5887070409953594,0.45,go
2.0,test,left,circleblack.png,left,0.6959196254611015,0.45,go
2.0,test,left,circleblack.png,left,0.8561007939279079,0.45,go
2.0,test,right,squareblack.png,right,0.8939475454390049,0.45,go
2.0,test,left,circleblack.png,left,0.734970360994339,0.45,go
2.0,test,right,squareblack.png,right,0.6090070866048336,0.45,go
2.0,test,right,squareblack.png,,,0.45,stop
2.0,test,left,circleblack.png,left,0.5628296248614788,0.5,go
2.0,test,left,circleblack.png,,,0.5,stop
2.0,test,right,squareblack.png,right,0.5488680563867092,0.55,go
2.0,test,right,squareblack.png,right,0.7867509089410305,0.55,go
2.0,test,left,circleblack.png,left,0.7326591536402702,0.55,stop
2.0,test,left,circleblack.png,left,0.816314373165369,0.5,go
2.0,test,right,squareblack.png,,,0.5,stop
2.0,test,right,squareblack.png,right,0.9928703047335148,0.55,go
2.0,test,left,circleblack.png,left,0.8282873444259167,0.55,go
2.0,test,right,squareblack.png,right,0.7964676097035408,0.55,go
2.0,test,left,circleblack.png,,,0.55,stop
2.0,test,left,circleblack.png,,,0.6,stop
2.0,test,right,squareblack.png,,,0.65,stop
2.0,test,left,circleblack.png,left,1.0108518153429031,0.7,go
2.0,test,left,circleblack.png,left,0.9589802175760268,0.7,go
2.0,test,left,circleblack.png,left,0.9436982683837414,0.7,go
