corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,0,0,0,0,9,3,39,1,,,,,,,,,860.670303273946,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.0013091079890727997,0.4895829111337662,0.8402594402432442,863.1726055331528,test,1,,,,,,860.688612960279,861.2025787904859,861.1857250630856,861.1857250630856,861.5362570285797,862.0369627289474,862.1868325918913,863.1914193741977,None,0,0.4,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,10,0,40,0,,,,,,,,,863.1730483733118,go,squareblack.png,right,0.4,,,,,,,,,,,,,,,,,,0.001247946172952652,0.48974231630563736,,865.6752691157162,test,1,,,,,,863.1914193741977,863.7050948999822,863.6884888522327,863.6884888522327,864.0890551432967,864.5889991037548,864.6891407519579,865.6943264603615,right,1,0.4,0.5065704174339771,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,10,1,41,1,,,,,,,,,865.6757083274424,go,circleblack.png,left,0.4,,,,,,,,,,,,,,,,,,0.0018484927713871002,0.49000513553619385,,868.1780537068844,test,1,,,,,,865.6943264603615,866.2079475335777,866.1917824521661,866.1917824521661,866.5918922424316,867.0910223759711,867.1917547769845,868.1969763897359,left,1,0.4,0.5818132311105728,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,10,2,42,2,,,,,,,,,868.1784840300679,go,circleblack.png,left,0.4,,,,,,,,,,,,,,,,,,0.0012766197323799133,0.48962336778640747,,870.6808187924325,test,1,,,,,,868.1969763897359,868.7107031308115,868.6944906301796,868.6944906301796,869.0944783724844,869.5953031778336,869.6945923902094,870.6996082291007,left,1,0.4,0.5223526395857334,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,10,3,43,2,,,,,,,,,870.6812604106963,stop,circleblack.png,left,0.4,,,,,,,,,,,,,,,,,,0.0014682933688163757,0.48973092809319496,0.8902271836996078,873.1838641650975,test,1,,,,,,870.6996082291007,871.2138682976365,871.1966755315661,871.1966755315661,871.5973095968366,872.0972771309316,872.1976185552776,873.2026190534234,left,1,0.35,0.4635862857103348,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,11,0,44,1,,,,,,,,,873.184312786907,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.0016342997550964355,0.48953037336468697,0.8402595929801464,875.6862185895443,test,1,,,,,,873.2026190534234,873.7163923941553,873.6996451243758,873.6996451243758,874.0499648228288,874.5501480847597,874.7000752985477,875.7056596465409,right,1,0.3,0.42775725573301315,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,11,1,45,3,,,,,,,,,875.6866519935429,go,circleblack.png,left,0.3,,,,,,,,,,,,,,,,,,0.0018557235598564148,0.490055937319994,,878.1891498081386,test,1,,,,,,875.7056596465409,876.2189371474087,876.2026931270957,876.2026931270957,876.5028399005532,877.0020513944328,877.2027872055769,878.2078510262072,left,1,0.3,0.4810275584459305,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,11,2,46,3,,,,,,,,,878.189578525722,go,circleblack.png,left,0.3,,,,,,,,,,,,,,,,,,0.0013207197189331055,0.48993176221847534,,880.691877823323,test,1,,,,,,878.2078510262072,878.7216191068292,878.705265622586,878.705265622586,879.005477014929,879.5058116689324,879.7065770216286,880.7106877118349,left,1,0.3,0.5141140818595886,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,0,0,0,0,11,3,47,2,,,,,,,,,880.6923064738512,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,,,,0.0014509893953800201,0.48977723345160484,0.7903065718710423,883.1944581791759,test,1,,,,,,880.7106877118349,881.2244796380401,881.208341319114,881.208341319114,881.5081706382334,882.008667819202,882.2089850232005,883.2161847427487,None,0,0.35,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
,,,,,,,,,,0,0,0,0,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.2161847427487,883.2161847427487,return,19.566600438207388,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
