corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,3090.5758156627417,stop,squareblack.png,right,0.5,3090.595229573548,3090.595229573548,3091.0917234942317,3091.0917234942317,3091.1086140051484,3091.592387996614,3092.092797599733,3092.092797599733,3093.0941140055656,3093.1105029582977,None,0,3093.1105029582977,3093.1105029582977,0.0017418041825294495,0.48992128670215607,0.9907231107354164,3093.59531853348,practice,1,3093.614810705185,3093.614810705185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,3093.5957581698895,go,squareblack.png,right,0.55,3093.614810705185,3093.614810705185,3094.1117833331227,3094.1117833331227,3094.128471508622,3094.6624447628856,3095.162817902863,3095.112919345498,3096.114127241075,3096.114127241075,None,0,3096.114127241075,3096.114127241075,0.0012087225914001465,0.4899674728512764,1.0406341254711151,3096.597987599671,practice,1,3096.6165226623416,3096.6165226623416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,3,0,12,3,,,,,,,,,,,,,,,,,3096.5984107106924,go,circleblack.png,left,0.55,3096.6165226623416,3096.6165226623416,3097.114959925413,3097.114959925413,3097.131942920387,3097.665897771716,3098.1660225763917,3098.1161336377263,3099.117280781269,3099.117280781269,None,0,3099.117280781269,3099.117280781269,0.0018655955791473389,0.4906519055366516,1.0410863384604454,3099.6019777283072,practice,1,3099.6221230328083,3099.6221230328083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,3,1,13,1,,,,,,,,,,,,,,,,,3099.60240124166,go,squareblack.png,right,0.55,3099.6221230328083,3099.6221230328083,3100.1184448450804,3100.1184448450804,3100.13509324193,3100.668942809105,3101.1694377064705,3101.119914971292,3102.120730996132,3102.1372296363115,None,0,3102.1372296363115,3102.1372296363115,0.0018083453178405762,0.49013620615005493,1.0409637093544006,3102.622005932033,practice,1,3102.642214179039,3102.642214179039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,3102.622423194349,go,circleblack.png,left,0.55,3102.642214179039,3102.642214179039,3103.1384750008583,3103.1384750008583,3103.1551770344377,3103.688875734806,3104.189095057547,3104.138580672443,3105.1403505280614,3105.1575929895043,None,0,3105.1575929895043,3105.1575929895043,0.0017602071166038513,0.48989973217248917,1.0406278744339943,3105.6420839577913,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,3105.6425206139684,go,circleblack.png,left,0.55,3105.6614919155836,3105.6614919155836,3106.1585282832384,3106.1585282832384,3106.174919821322,3106.709028221667,3107.2097773700953,3107.1593451350927,3108.1605146974325,3108.1605146974325,None,0,3108.1605146974325,3108.1605146974325,0.001247510313987732,0.4901511147618294,1.0406016483902931,3108.645305298269,practice,1,3108.66526504606,3108.66526504606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,3108.645841963589,stop,squareblack.png,right,0.55,3108.66526504606,3108.66526504606,3109.1617200672626,3109.1617200672626,3109.178439706564,3109.7123019993305,3110.212774299085,3110.162536121905,3111.1636846661568,3111.1804596185684,None,0,3111.1804596185684,3111.1804596185684,0.0017187818884849548,0.49007684737443924,1.0405786111950874,3111.665094010532,practice,1,3111.6844334453344,3111.6844334453344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,4,1,17,3,,,,,,,,,,,,,,,,,3111.6655225753784,go,squareblack.png,right,0.6,3111.6844334453344,3111.6844334453344,3112.1816600486636,3112.1816600486636,3112.1982069164515,3112.7822103723884,3113.2829644158483,3113.1828080564737,3114.183943539858,3114.183943539858,None,0,3114.183943539858,3114.183943539858,0.0011971816420555115,0.49017326533794403,1.090914472937584,3114.667618781328,practice,1,3114.6864573061466,3114.6864573061466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,3114.668090045452,go,squareblack.png,right,0.6,3114.6864573061466,3114.6864573061466,3115.185009866953,3115.185009866953,3115.2014460638165,3115.785412669182,3116.286110699177,3116.185911089182,3117.1870919540524,3117.1870919540524,None,0,3117.1870919540524,3117.1870919540524,0.0012810230255126953,0.4907824993133545,1.0910196527838707,3117.6716985329986,practice,1,3117.690983250737,3117.690983250737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,4,3,19,2,,,,,,,,,,,,,,,,,3117.6721145138144,go,squareblack.png,right,0.6,3117.690983250737,3117.690983250737,3118.188126601279,3118.188126601279,3118.2046620324254,3118.788921698928,3119.289555206895,3119.189724907279,3120.190808676183,3120.190808676183,None,0,3120.190808676183,3120.190808676183,0.0011811479926109314,0.4902755096554756,1.0911265537142754,3120.675356760621,practice,1,3120.6950358226895,3120.6950358226895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
