corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,2,,,,,,,,,,,,,,,,,230.66054325550795,go,squareblack.png,right,0.3,230.67987209558487,230.67987209558487,231.1773733049631,231.1773733049631,231.194067761302,231.47760346531868,231.97702105343342,232.17707332223654,233.17819660902023,233.19528951495886,right,1,233.19528951495886,233.19528951495886,0.0021393001079559326,0.4912146255373955,0.7913217842578888,233.67973763495684,practice,1,0.3077037110924721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,233.68022816628218,go,squareblack.png,right,0.3,233.69780000299215,233.69780000299215,234.19598926603794,234.19598926603794,234.21264681220055,234.49629667401314,234.9969788119197,235.19714983552694,236.1987878754735,236.1987878754735,right,1,236.1987878754735,236.1987878754735,0.0012288093566894531,0.48963330686092377,0.7899269610643387,236.68314877152443,practice,1,0.3287651315331459,236.70063226670027,236.70063226670027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,236.68361090868711,stop,squareblack.png,right,0.3,236.70063226670027,236.70063226670027,237.1992508098483,237.1992508098483,237.21588215231895,237.49971797317266,238.00034774839878,238.20027489215136,239.20338132977486,239.20338132977486,right,1,239.20338132977486,239.20338132977486,0.0011659786105155945,0.48968256264925003,0.7900982350111008,239.7027260363102,practice,1,0.3518209755420685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,239.7031524181366,go,squareblack.png,right,0.25,239.72003492712975,239.72003492712975,240.21916143596172,240.21916143596172,240.21916143596172,240.4696261882782,240.9701159670949,241.2203966677189,242.22157709300518,242.22157709300518,right,1,242.22157709300518,242.22157709300518,0.001171216368675232,0.49018989503383636,0.7406770139932632,242.70629265904427,practice,1,0.41073092818260193,242.7237596064806,242.7237596064806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,1,13,0,,,,,,,,,,,,,,,,,242.70674934983253,stop,squareblack.png,right,0.25,242.7237596064806,242.7237596064806,243.22253804653883,243.22253804653883,243.23931678384542,243.4730320200324,243.97339102625847,244.22368495166302,245.22493068128824,245.22493068128824,right,1,245.22493068128824,245.22493068128824,0.0012044012546539307,0.4901372790336609,0.7408216223120689,245.70960927009583,practice,1,0.3575173392891884,245.73288950324059,245.73288950324059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,245.71003191918135,stop,circleblack.png,left,0.2,245.73288950324059,245.73288950324059,246.22589471936226,246.22589471936226,246.2432410866022,246.4264263138175,246.92670535296202,247.22699958086014,248.22825106233358,248.2452205568552,left,1,248.2452205568552,248.2452205568552,0.007809467613697052,0.4899314343929291,0.690288282930851,248.72955168038607,practice,1,0.31168900430202484,248.74726999551058,248.74726999551058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,248.72997304052114,stop,squareblack.png,right,0.15,248.74726999551058,248.74726999551058,249.2460450232029,249.2460450232029,249.2626370638609,249.39620508998632,249.89659320563078,250.24692640453577,251.2480603158474,251.2480603158474,None,0,251.2480603158474,251.2480603158474,0.0016401931643486023,0.49034544825553894,0.6403908953070641,251.73308102041483,practice,1,,251.75376272201538,251.75376272201538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,251.7335304096341,go,circleblack.png,left,0.2,251.75376272201538,251.75376272201538,252.24942030757666,252.24942030757666,252.26601143181324,252.44989923387766,252.94996260106564,253.25019426643848,254.25129064917564,254.26802277565002,left,1,254.26802277565002,254.26802277565002,0.005140900611877441,0.4897742420434952,0.6901477873325348,254.7532493919134,practice,1,0.3388904631137848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,4,1,17,1,,,,,,,,,,,,,,,,,254.75367411226034,go,circleblack.png,left,0.2,254.77210231870413,254.77210231870413,255.270766235888,255.270766235888,255.28744634985924,255.47101886570454,255.9706144183874,256.27045169472694,257.27137346565723,257.27137346565723,left,1,257.27137346565723,257.27137346565723,0.0012089312076568604,0.49124564230442047,0.6917301043868065,257.756519690156,practice,1,0.39536699652671814,257.7749834731221,257.7749834731221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
None,None,0,0,0,0,4,2,18,1,,,,,,,,,,,,,,,,,257.75696440786123,go,circleblack.png,left,0.2,257.7749834731221,257.7749834731221,258.27247700095177,258.27247700095177,258.2891703918576,258.4728130027652,258.97357012331486,259.2735957875848,260.27576890587807,260.27576890587807,left,1,260.27576890587807,260.27576890587807,0.001323603093624115,0.48941779881715775,0.6895754113793373,260.75952833145857,practice,1,0.3811044320464134,260.77691807597876,260.77691807597876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s034,001,2024-09-17_13h32.33.059,simplestop_skeleton,2022.2.2,59.9322899228726,
