corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]","[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",1012.2003979943693,1012.2003979943693,return,3.3466909304261208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1015.5924629978836,1015.5924629978836,1110.3380165174603,go,squareblack.png,right,0.35,1110.3799306713045,1110.3799306713045,1110.8472941964865,1110.8472941964865,1110.8807369209826,1111.1977585218847,1111.698183055967,1111.848398346454,1112.849333230406,1112.8849989026785,None,0,1112.8849989026785,1112.8849989026785,0.002803560346364975,0.4823233634233475,0.8325976431369781,1113.3845446109772,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,1113.3851430267096,go,circleblack.png,left,0.35,1113.4076339155436,1113.4076339155436,1113.9007585830986,1113.9007585830986,1113.9172719605267,1114.2509760931134,1114.7517262287438,1114.9017437286675,1115.9028782621026,1115.9196166060865,None,0,1115.9196166060865,1115.9196166060865,0.005087520927190781,0.48935259878635406,0.8397366143763065,1116.404285941273,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
$currentCorrectResponse,$currentGoStim,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,1116.4047502875328,stop,squareblack.png,right,0.35,1116.4247448444366,1116.4247448444366,1116.9191460311413,1116.9191460311413,1116.9358358494937,1117.2695206962526,1117.7710687294602,1117.9216182269156,1118.9227479957044,1118.9395209290087,right,1,1118.9395209290087,1118.9395209290087,0.0016983672976493835,0.48813309893012047,0.8386411741375923,1119.4242902323604,practice,1,0.49354128912091255,1119.444287724793,1119.444287724793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1119.4247095100582,stop,squareblack.png,right,0.3,1119.444287724793,1119.444287724793,1119.9405524171889,1119.9405524171889,1119.957587365061,1120.2408705949783,1120.74148517102,1120.9416505210102,1121.942765507847,1121.9596232660115,None,0,1121.9596232660115,1121.9596232660115,0.001291867345571518,0.4896293431520462,0.7901101969182491,1122.4441047646105,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,1122.4445428401232,go,squareblack.png,right,0.35,1122.4642241559923,1122.4642241559923,1122.9604803360999,1122.9604803360999,1122.9773901887238,1123.31091003865,1123.8116526268423,1123.9619052037597,1124.9627827070653,1124.9793962687254,None,0,1124.9793962687254,1124.9793962687254,0.001282036304473877,0.4900399148464203,0.8404828198254108,1125.4642489179969,practice,1,,1125.4847781583667,1125.4847781583667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,1125.4646690189838,stop,circleblack.png,left,0.35,1125.4847781583667,1125.4847781583667,1125.9805907644331,1125.9805907644331,1125.9971050433815,1126.330849736929,1126.8314509391785,1126.9804658070207,1127.9828394167125,1127.9994577355683,left,1,1127.9994577355683,1127.9994577355683,0.0018176250159740448,0.49005890265107155,0.8403389751911163,1128.484198782593,practice,1,0.7148269526660442,1128.504386883229,1128.504386883229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,1128.4846186898649,go,squareblack.png,right,0.3,1128.504386883229,1128.504386883229,1129.0007557608187,1129.0007557608187,1129.01743754372,1129.300757266581,1129.8015176393092,1130.0001987107098,1131.0027250163257,1131.0194984972477,right,1,1131.0194984972477,1131.0194984972477,0.001663699746131897,0.49013087898492813,0.7900916002690792,1131.5045276731253,practice,1,0.6181840263307095,1131.524213321507,1131.524213321507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,1131.5049661509693,go,squareblack.png,right,0.3,1131.524213321507,1131.524213321507,1132.0205770805478,1132.0205770805478,1132.0375660657883,1132.3213109113276,1132.8217504248023,1133.020897038281,1134.0228059068322,1134.039477262646,right,1,1134.039477262646,1134.039477262646,0.0012890137732028961,0.4897398576140404,0.7898894511163235,1134.52428490296,practice,1,0.6730220951139927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,1134.5247091501951,go,circleblack.png,left,0.3,1134.5443118810654,1134.5443118810654,1135.040837019682,1135.040837019682,1135.0574114769697,1135.3411437571049,1135.8414768576622,1136.0403535291553,1137.0429173894227,1137.0595620647073,left,1,1137.0595620647073,1137.0595620647073,0.0018659532070159912,0.49044960364699364,0.7902772575616837,1137.5443670116365,practice,1,0.6231598667800426,1137.5641696229577,1137.5641696229577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s016,001,2024-07-22_12h03.07.879,simplestop_skeleton,2022.2.2,59.94793615396527,
