corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,668.9334786310792,stop,circleblack.png,left,0.3,668.9527403116226,668.9527403116226,669.4492342025042,669.4492342025042,669.4659767895937,669.7497867271304,670.2488840147853,670.4489400610328,671.4500707387924,671.4668190032244,left,1,671.4668190032244,671.4668190032244,0.0012549608945846558,0.4899258017539978,0.7903124466538429,671.9528795406222,practice,1,0.4516478553414345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,671.9533007666469,go,circleblack.png,left,0.25,671.9727731198072,671.9727731198072,672.4692996740341,672.4692996740341,672.4858649596572,672.7195391952991,673.2206104621291,673.4690231531858,674.4701046347618,674.4869097918272,left,1,674.4869097918272,674.4869097918272,0.0013011693954467773,0.4899159148335457,0.7405173256993294,674.972310744226,practice,1,0.4932299852371216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,674.9727431759238,go,squareblack.png,right,0.25,674.9973843321204,674.9973843321204,675.4894980564713,675.4894980564713,675.5060564503074,675.7398587167263,676.2405275404453,676.4890261143446,677.4901248440146,677.5068444162607,right,1,677.5068444162607,677.5068444162607,0.00780893862247467,0.4909493625164032,0.7410923391580582,677.9926609396935,practice,1,0.5297325775027275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,677.9930870905519,go,circleblack.png,left,0.25,678.0105983987451,678.0105983987451,678.5093842819333,678.5093842819333,678.5093842819333,678.7584809437394,679.2587650343776,679.5091289505363,680.511935390532,680.511935390532,left,1,680.511935390532,680.511935390532,0.0018729344010353088,0.490977019071579,0.7393613457679749,680.9963059276342,practice,1,0.4205419570207596,681.0172557011247,681.0172557011247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,680.996747367084,go,circleblack.png,left,0.25,681.0172557011247,681.0172557011247,681.5122549533844,681.5122549533844,681.5289318338037,681.7628836408257,682.2640276998281,682.5123645812273,683.513364367187,683.5300111398101,left,1,683.5300111398101,683.5300111398101,0.0014867261052131653,0.4890325739979744,0.7398842722177505,684.0153963789344,practice,1,0.49062544107437134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,684.0158178955317,stop,squareblack.png,right,0.25,684.034547559917,684.034547559917,684.5326838493347,684.5326838493347,684.5494975596666,684.7827727496624,685.2834667563438,685.5335750430822,686.5348904877901,686.5348904877901,None,0,686.5348904877901,686.5348904877901,0.0022518038749694824,0.49099716544151306,0.7410398051142693,687.0197120830417,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,687.0201438739896,go,squareblack.png,right,0.3,687.039273403585,687.039273403585,687.5359080806375,687.5359080806375,687.552466057241,687.8362670615315,688.3354058638215,688.5355220362544,689.5368279963732,689.5533494725823,right,1,689.5533494725823,689.5533494725823,0.0012403875589370728,0.49022357910871506,0.7903638333082199,690.0393607914448,practice,1,0.36045924574136734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,690.0397914946079,go,squareblack.png,right,0.3,690.0592839717865,690.0592839717865,690.5560460016131,690.5560460016131,690.5727310925722,690.8562769815326,691.3572675362229,691.555634342134,692.5566357672215,692.5732675343752,right,1,692.5732675343752,692.5732675343752,0.0012672767043113708,0.4899165481328964,0.7901850119233131,693.0588314160705,practice,1,0.47952475398778915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,693.0592833459377,go,squareblack.png,right,0.3,693.0766616091132,693.0766616091132,693.5760547295213,693.5760547295213,693.5760547295213,693.8763089105487,694.3774512261152,694.5757736414671,695.5768203660846,695.5768203660846,right,1,695.5768203660846,695.5768203660846,0.0012010559439659119,0.49077875912189484,0.7910260930657387,696.0621443018317,practice,1,0.581721194088459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,696.0625817030668,go,circleblack.png,left,0.3,696.0868664011359,696.0868664011359,696.5792491286993,696.5792491286993,696.5959903821349,696.8798095434904,697.3790796175599,697.5790176317096,698.5799807906151,698.5967395454645,left,1,698.5967395454645,698.5967395454645,0.00841597467660904,0.49102820456027985,0.7908836007118225,699.0827292948961,practice,1,0.4071878343820572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s032,001,2024-08-22_11h00.54.383,simplestop_skeleton,2022.2.2,59.73838931680416,
