corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,1,0,1,0,6,3,27,2,,,,,,,,,632.6848326250911,stop,circleblack.png,left,0.15,,,,,,,,,,,,,,,,0.0018355511128902435,0.48981671780347824,0.6399714462459087,635.1873289234936,test,2,,,,,,,,,632.7037532441318,633.2005397714674,633.2005397714674,633.2173281610012,633.3506300523877,633.8513618558645,634.2002769969404,635.2064866088331,left,1,0.1,0.3496859148144722,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,7,0,28,1,,,,,,,,,635.1877695657313,stop,squareblack.png,right,0.1,,,,,,,,,,,,,,,,0.0016739144921302795,0.48957014083862305,0.5882784686982632,637.6901639401913,test,2,,,,,,,,,635.2064866088331,635.703255482018,635.703255482018,635.7200738601387,635.8022229671478,636.3025422208011,636.7037442959845,637.7098058983684,right,1,0.05,0.36505962535738945,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,7,1,29,2,,,,,,,,,637.6906013153493,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.001956794410943985,0.4895627126097679,,640.1930572837591,test,2,,,,,,,,,637.7098058983684,638.2061195410788,638.2061195410788,638.2228080257773,638.2563961111009,638.7570351138711,639.2057578191161,640.2119303755462,left,1,0.05,0.479241568595171,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,7,2,30,3,,,,,,,,,640.1934908889234,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0013920031487941742,0.4879940301179886,,642.6957081519067,test,2,,,,,,,,,640.2119303755462,640.7072953134775,640.7072953134775,640.7240461558104,640.7573573626578,641.2578265592456,641.7089814245701,642.71458273381,left,1,0.05,0.4511309377849102,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,7,3,31,3,,,,,,,,,642.6961487829685,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0014894641935825348,0.48939506337046623,,645.1980553120375,test,2,,,,,,,,,642.71458273381,643.2114574834704,643.2114574834704,643.2282863110304,643.2618100307882,643.7625059857965,644.2111922129989,645.2233455553651,left,1,0.05,0.4058199003338814,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,8,0,32,3,,,,,,,,,645.1984936371446,go,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.007861267775297165,0.4896788112819195,,647.7012995257974,test,2,,,,,,,,,645.2233455553651,645.7143955975771,645.7143955975771,645.7310825958848,645.7648233361542,646.2654953636229,646.7142253443599,647.7201208993793,left,0,0.05,0.35448483005166054,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,8,1,33,3,,,,,,,,,647.7017552554607,go,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.0013514049351215363,0.489421121776104,,650.2039163820446,test,2,,,,,,,,,647.7201208993793,648.2172095254064,648.2172095254064,648.2339855097234,648.2672844305634,648.7680359594524,649.2176105566323,650.2230681888759,right,1,0.05,0.34629879891872406,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,8,2,34,3,,,,,,,,,650.2043450586498,stop,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.0013014227151870728,0.48964713886380196,0.5396991074085236,652.7065867818892,test,2,,,,,,,,,650.2230681888759,650.720123142004,650.720123142004,650.736395791173,650.7698835879564,651.2702926583588,651.7209840081632,652.7264260575175,None,0,0.1,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,8,3,35,1,,,,,,,,,652.7070187591016,stop,circleblack.png,left,0.1,,,,,,,,,,,,,,,,0.001957368105649948,0.48971686884760857,0.5897469371557236,655.2094565443695,test,2,,,,,,,,,652.7264260575175,653.2226094156504,653.2226094156504,653.2392005175352,653.3228287398815,653.8235678635538,654.2222540490329,655.2287363931537,left,1,0.05,0.3559131547808647,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,9,0,36,0,,,,,,,,,655.2098914757371,go,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.0016557686030864716,0.4896992817521095,,657.7125714048743,test,2,,,,,,,,,655.2287363931537,655.7254308871925,655.7254308871925,655.7421306297183,655.7756067253649,656.2767396569252,656.7250531204045,657.7322959825397,right,1,0.05,0.4014015272259712,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
