corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 0,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,Test Block: 1,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,2,,,,,,,,,,,,,,,,,9885.678354989737,go,squareblack.png,m,0.15,9885.697917778045,9885.697917778045,9886.194378234446,9886.194378234446,9886.210998095572,9886.344479054213,9886.845014795661,9887.19475837797,9888.196517251432,9888.213222343475,m,0,0.48175017163157463,9888.213222343475,9888.213222343475,,,0.0017476603388786316,0.489986814558506,0.6403261236846447,9888.698106128722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,9888.698412835598,stop,squareblack.png,m,0.15,9888.717778172344,9888.717778172344,9889.21423855424,9889.21423855424,9889.230977836996,9889.364422649145,9889.864943671972,9890.215365175158,9891.216623470187,9891.233205985278,None,0,,9891.233205985278,9891.233205985278,9891.738108273596,9891.738108273596,0.001195959746837616,0.4896919019520283,0.63991804048419,9891.718109022826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,2,3,11,1,,,,,,,,,,,,,,,,,9891.718416906893,stop,circleblack.png,z,0.2,9891.738108273596,9891.738108273596,9892.234256591648,9892.234256591648,9892.250979300588,9892.434452198446,9892.935224939138,9893.23427042365,9894.236583765596,9894.253283880651,z,0,0.5480098500847816,9894.253283880651,9894.253283880651,9894.757915474474,9894.757915474474,0.001828160136938095,0.4899652414023876,0.690094456076622,9894.738031495363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,9894.738352958113,go,circleblack.png,z,0.15,9894.757915474474,9894.757915474474,9895.254297990352,9895.254297990352,9895.271311696619,9895.404601469636,9895.905502937734,9896.254219576716,9897.256792664528,9897.273321688175,z,0,0.5558026991784573,9897.273321688175,9897.273321688175,9897.777497753501,9897.777497753501,0.0013967640697956085,0.48964329808950424,0.6397935748100281,9897.757916241884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,9897.758244991302,go,circleblack.png,z,0.15,9897.777497753501,9897.777497753501,9898.274307094514,9898.274307094514,9898.291035536677,9898.424379944801,9898.925110865384,9899.274105343968,9900.276459567249,9900.293270837516,z,0,0.5398069061338902,9900.293270837516,9900.293270837516,9900.79785078764,9900.79785078764,0.0013109147548675537,0.4901290237903595,0.6402099393308163,9900.77786821872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,9900.778175763786,go,squareblack.png,m,0.15,9900.79785078764,9900.79785078764,9901.294335465878,9901.294335465878,9901.311087831855,9901.444436319172,9901.945219714195,9902.294636048377,9903.296516198665,9903.313576556742,m,0,0.4089612141251564,9903.313576556742,9903.313576556742,9903.817891370505,9903.817891370505,0.0017750822007656097,0.4902206249535084,0.6404773518443108,9903.798078205436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,9903.798450253904,go,circleblack.png,z,0.15,9903.817891370505,9903.817891370505,9904.31479024142,9904.31479024142,9904.331165228039,9904.464571386576,9904.965359091759,9905.314153827727,9906.317081097513,9906.333399020135,z,0,0.5979289412498474,9906.333399020135,9906.333399020135,9906.838101606816,9906.838101606816,0.0017896443605422974,0.4902869276702404,0.6402484066784382,9906.818103350699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,4,0,16,2,,,,,,,,,,,,,,,,,9906.818489603698,go,squareblack.png,m,0.15,9906.838101606816,9906.838101606816,9907.33460244909,9907.33460244909,9907.351308260113,9907.484654445201,9907.985280141234,9908.33392772451,9909.336411457509,9909.353082567453,m,0,0.5979213155806065,9909.353082567453,9909.353082567453,9909.857868302613,9909.857868302613,0.0017747655510902405,0.4902351647615433,0.6403428688645363,9909.837981827557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,9909.838296122849,stop,circleblack.png,z,0.15,9909.857868302613,9909.857868302613,9910.354336857796,9910.354336857796,9910.37110229209,9910.504381779581,9911.004930578172,9911.355342868716,9912.356514692307,9912.373227067292,None,1,,9912.373227067292,9912.373227067292,,,0.001920219510793686,0.4900437258183956,0.6402798928320408,9912.858196109533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
None,None,0,0,0,0,4,2,18,2,,,,,,,,,,,,,,,,,9912.858516093343,go,circleblack.png,z,0.2,9912.877718333155,9912.877718333155,9913.374422285706,9913.374422285706,9913.391142699867,9913.574689496309,9914.075243707746,9914.374177832156,9915.376686763018,9915.393271259964,z,0,0.5566942542791367,9915.393271259964,9915.393271259964,9915.897845286876,9915.897845286876,0.0012402236461639404,0.49019111320376396,0.6904513165354729,9915.878008246422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s002,001,2024-04-10_15h44.48.023,simplestop_skeleton,2022.2.2,59.9277046758086,
