corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 0,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,Test Block: 1,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}]","[{'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}]",15.275728795677423,15.275728795677423,return,8.265045057982206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,23.57324953004718,23.57324953004718,118.10633851960301,go,circleblack.png,z,0.25,118.13026147708297,118.13026147708297,118.62154879420996,118.62154879420996,118.63803622126579,118.87180832028389,119.37223342433572,119.62250487878919,120.62354164198041,120.6401370279491,z,0,1.0898662321269512,120.6401370279491,120.6401370279491,121.14607557654381,121.14607557654381,0.0033210553228855133,0.48856189474463463,0.7388666607439518,121.12553071975708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,121.12589452415705,stop,circleblack.png,z,0.25,121.14607557654381,121.14607557654381,121.6411980651319,121.6411980651319,121.6580147780478,121.89141322672367,122.39220259338617,122.64243491366506,123.64389116317034,123.66027543693781,None,1,,123.66027543693781,123.66027543693781,124.16273863613605,124.16273863613605,0.0014543309807777405,0.48897141590714455,0.738973468542099,124.14443799108267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,124.14475242421031,go,squareblack.png,m,0.3,124.16273863613605,124.16273863613605,124.66131652891636,124.66131652891636,124.6779996342957,124.96160713583231,125.46080480515957,125.66177852451801,126.66371627524495,126.66371627524495,m,0,0.4569696709513664,126.66371627524495,126.66371627524495,127.16777777299285,127.16777777299285,0.001794707030057907,0.49070801958441734,0.7912187092006207,127.14831872284412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,127.14866415411234,stop,squareblack.png,m,0.3,127.16777777299285,127.16777777299285,127.6646593362093,127.6646593362093,127.68154522031546,127.96499697118998,128.4654911234975,128.66571905836463,129.6666570045054,129.6666570045054,None,1,,129.6666570045054,129.6666570045054,,,0.0012004934251308441,0.489900391548872,0.790509007871151,130.1514483653009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,130.15176095440984,go,squareblack.png,m,0.35,130.17082101106644,130.17082101106644,130.6682129688561,130.6682129688561,130.68487245589495,131.01825345680118,131.51884386315942,131.66900292783976,132.67022484913468,132.67022484913468,m,0,0.5366167165338993,132.67022484913468,132.67022484913468,133.17412856966257,133.17412856966257,0.0012319087982177734,0.4902068041265011,0.8406156934797764,133.1548992060125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,133.1552976667881,go,squareblack.png,m,0.35,133.17412856966257,133.17412856966257,133.67127159237862,133.67127159237862,133.68784536793828,134.02171487361193,134.52210796624422,134.6724211834371,135.6733939908445,135.6733939908445,m,0,0.7402483932673931,135.6733939908445,135.6733939908445,,,0.0011918805539608002,0.49016089364886284,0.8406147547066212,136.15835600718856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,1,2,6,1,,,,,,,,,,,,,,,,,136.1586932875216,go,circleblack.png,z,0.35,136.1782273761928,136.1782273761928,136.6743704713881,136.6743704713881,136.69125513359904,137.0248723104596,137.52534154430032,137.67563778162003,138.67680821940303,138.69404938444495,z,0,0.4831991381943226,138.69404938444495,138.69404938444495,139.19593240693212,139.19593240693212,0.001807771623134613,0.48997558280825615,0.8403569757938385,139.17776546999812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
$currentCorrectResponse,$currentGoStim,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,139.17808292806149,go,squareblack.png,m,0.35,139.19593240693212,139.19593240693212,139.69469721987844,139.69469721987844,139.71134081855416,140.04565976932645,140.54559200629592,140.69571153447032,141.69712395966053,141.69712395966053,m,0,0.2897167503833771,141.69712395966053,141.69712395966053,,,0.0016540363430976868,0.49076127633452415,0.841126624494791,142.1816920749843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
None,None,0,0,0,0,2,0,8,3,,,,,,,,,,,,,,,,,142.182002954185,stop,squareblack.png,m,0.35,142.2009798809886,142.2009798809886,142.69817938283086,142.69817938283086,142.71478629857302,143.04839701205492,143.54774497449398,143.6984123364091,144.70012786611915,144.70012786611915,m,0,0.5311108976602554,144.70012786611915,144.70012786611915,145.20485969632864,145.20485969632864,0.001226663589477539,0.49006248638033867,0.8405160047113895,145.18491046875715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s003,001,2024-04-11_12h58.54.807,simplestop_skeleton,2022.2.2,59.981319761529335,
