corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,3601.965175651014,go,circleblack.png,left,0.35,3601.984974320978,3601.984974320978,3602.480985801667,3602.480985801667,3602.4975792765617,3602.8313620984554,3603.3307713083923,3603.480680450797,3604.4816461764276,3604.498451281339,left,1,3604.498451281339,3604.498451281339,0.0019221343100070953,0.48999883979558945,0.8402434140443802,3604.9837724119425,practice,1,0.5647781118750572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,2,2,10,3,,,,,,,,,,,,,,,,,3604.984196603298,go,squareblack.png,right,0.35,3605.002434682101,3605.002434682101,3605.500758256763,3605.500758256763,3605.517885927111,3605.8512949831784,3606.3670975863934,3606.500585090369,3607.5016830414534,3607.5016830414534,right,1,3607.5016830414534,3607.5016830414534,0.0016869045794010162,0.4906533621251583,0.8410916104912758,3607.9879279993474,practice,1,0.5739647336304188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,3607.988651227206,go,squareblack.png,right,0.35,3608.010084219277,3608.010084219277,3608.5060850791633,3608.5060850791633,3608.520524226129,3608.8545837439597,3609.353895612061,3609.5211080126464,3610.5220444984734,3610.5220444984734,right,1,3610.5220444984734,3610.5220444984734,0.0019681379199028015,0.4873812757432461,0.8392950817942619,3611.007216785103,practice,1,0.5019517876207829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,3611.0076459236443,go,squareblack.png,right,0.35,3611.024973578751,3611.024973578751,3611.524170704186,3611.524170704186,3611.524170704186,3611.8746595159173,3612.375641539693,3612.5240470655262,3613.525047238916,3613.525047238916,right,1,3613.525047238916,3613.525047238916,0.0012135393917560577,0.4908308796584606,0.8412104956805706,3614.010331250727,practice,1,0.6316606029868126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,1,13,0,,,,,,,,,,,,,,,,,3614.0107532329857,stop,circleblack.png,left,0.35,3614.031406465918,3614.031406465918,3614.527578704059,3614.527578704059,3614.5441953763366,3614.8780169822276,3615.377265777439,3615.527248788625,3616.5282439291477,3616.5451022833586,left,1,3616.5451022833586,3616.5451022833586,0.0050816163420677185,0.4909616857767105,0.8411285988986492,3617.0305607542396,practice,1,0.4579177387058735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,3,2,14,3,,,,,,,,,,,,,,,,,3617.03098853305,stop,circleblack.png,left,0.3,3617.0482024736702,3617.0482024736702,3617.547576315701,3617.547576315701,3617.547576315701,3617.847867935896,3618.348827637732,3618.5473564453423,3619.548344936222,3619.548344936222,left,1,3619.548344936222,3619.548344936222,0.0012711584568023682,0.49075997620821,0.7909351214766502,3620.03363641724,practice,1,0.6177447736263275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,3620.0340593904257,go,circleblack.png,left,0.25,3620.05150661245,3620.05150661245,3620.55089096725,3620.55089096725,3620.55089096725,3620.8012138083577,3621.3016964308918,3621.5506636165082,3622.551603473723,3622.551603473723,left,1,3622.551603473723,3622.551603473723,0.0013348981738090515,0.49119972810149193,0.7413537316024303,3623.037314593792,practice,1,0.6475689224898815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,0,16,0,,,,,,,,,,,,,,,,,3623.0377469547093,go,circleblack.png,left,0.25,3623.0549268499017,3623.0549268499017,3623.5544007606804,3623.5544007606804,3623.5544007606804,3623.8044831864536,3624.305418666452,3624.554143309593,3625.554966263473,3625.554966263473,left,1,3625.554966263473,3625.554966263473,0.0012672059237957,0.4906242713332176,0.7408996596932411,3626.0401162169874,practice,1,0.723492369055748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,4,1,17,1,,,,,,,,,,,,,,,,,3626.040541946888,go,squareblack.png,right,0.25,3626.060390368104,3626.060390368104,3626.5574166737497,3626.5574166737497,3626.5742218494415,3626.807775530964,3627.3086128756404,3627.5571256019175,3628.55816090852,3628.5749761387706,right,1,3628.5749761387706,3628.5749761387706,0.002151407301425934,0.49144330993294716,0.7416439615190029,3629.0601355545223,practice,1,0.5797237791121006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
None,None,0,0,0,0,4,2,18,2,,,,,,,,,,,,,,,,,3629.060563109815,go,circleblack.png,left,0.25,3629.078094612807,3629.078094612807,3629.5776066444814,3629.5776066444814,3629.5776066444814,3629.827790558338,3630.328596174717,3630.5771359689534,3631.5782709643245,3631.5782709643245,left,1,3631.5782709643245,3631.5782709643245,0.0018036700785160065,0.49081747978925705,0.741266168653965,3632.063811082393,practice,1,0.5561987794935703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s007,001,2024-07-23_16h13.48.079,simplestop_skeleton,2022.2.2,60.006864111011446,
