corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,2,,,,,,,,,,,,,,,,,1822.5674943998456,go,circleblack.png,left,0.2,1822.5872438251972,1822.5872438251972,1823.083603233099,1823.083603233099,1823.10006955266,1823.2837221100926,1823.7994512543082,1824.0840118825436,1825.0856123492122,1825.1023706644773,left,1,0.3943312093615532,1825.1023706644773,1825.1023706644773,,,0.0018915608525276184,0.4899500831961632,0.6905048787593842,1825.58709936589,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,1825.587519571185,go,squareblack.png,right,0.2,1825.6068428084254,1825.6068428084254,1826.1036331951618,1826.1036331951618,1826.1203333511949,1826.3033941611648,1826.8040759563446,1827.103962160647,1828.105847209692,1828.122221969068,right,1,0.4142890125513077,1828.122221969068,1828.122221969068,1828.6270564571023,1828.6270564571023,0.0016921982169151306,0.48992982506752014,0.6902236193418503,1828.6069910898805,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,1828.607413828373,stop,circleblack.png,left,0.2,1828.6270564571023,1828.6270564571023,1829.1234052926302,1829.1234052926302,1829.1400394067168,1829.3224390298128,1829.8244455903769,1830.124621488154,1831.1256949305534,1831.142410904169,left,1,0.45886949449777603,1831.142410904169,1831.142410904169,,,0.0018077567219734192,0.49004852026700974,0.6890541240572929,1831.627104125917,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,1831.6275233775377,stop,squareblack.png,right,0.15,1831.6471209824085,1831.6471209824085,1832.1435617133975,1832.1435617133975,1832.1599378064275,1832.2937412038445,1832.7940080985427,1833.1446316242218,1834.1453671082854,1834.161969922483,None,0,,1834.161969922483,1834.161969922483,1834.6668191924691,1834.6668191924691,0.001731276512145996,0.489867128431797,0.6399446204304695,1834.6469093859196,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,1834.6473269537091,stop,circleblack.png,left,0.2,1834.6668191924691,1834.6668191924691,1835.1632276400924,1835.1632276400924,1835.1802191510797,1835.363439872861,1835.8639634624124,1836.1643613353372,1837.1653643473983,1837.182357057929,None,0,,1837.182357057929,1837.182357057929,,,0.0018449798226356506,0.4900258705019951,0.6900972127914429,1837.6676219701767,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,1837.6683265715837,go,squareblack.png,right,0.25,1837.6879976466298,1837.6879976466298,1838.1821417063475,1838.1821417063475,1838.2004571259022,1838.4330117851496,1838.9341016411781,1839.1844440996647,1840.1856959164143,1840.2022832036018,right,1,0.40772270411252975,1840.2022832036018,1840.2022832036018,1840.7071836143732,1840.7071836143732,0.0023480281233787537,0.48951322585344315,0.7389067485928535,1840.6869523972273,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,1840.6873764693737,go,circleblack.png,left,0.25,1840.7071836143732,1840.7071836143732,1841.203390493989,1841.203390493989,1841.2200157642365,1841.4537862762809,1841.9541609808803,1842.2039509639144,1843.2055642083287,1843.2223694697022,left,1,0.5025059729814529,1843.2223694697022,1843.2223694697022,1843.7274215742946,1843.7274215742946,0.0018542185425758362,0.4903659075498581,0.7405680269002914,1843.7069257199764,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,0,16,0,,,,,,,,,,,,,,,,,1843.7073396220803,stop,squareblack.png,right,0.25,1843.7274215742946,1843.7274215742946,1844.223600961268,1844.223600961268,1844.240362636745,1844.4740074798465,1844.9741824492812,1845.224429704249,1846.2255284041166,1846.2424890846014,None,0,,1846.2424890846014,1846.2424890846014,1846.7464725598693,1846.7464725598693,0.0017114952206611633,0.49001651257276535,0.7404072284698486,1846.7271408066154,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
None,None,0,0,0,0,4,1,17,1,,,,,,,,,,,,,,,,,1846.7275602668524,go,squareblack.png,right,0.3,1846.7464725598693,1846.7464725598693,1847.2434210553765,1847.2434210553765,1847.2601903304458,1847.5437798202038,1848.0441657453775,1848.2446011379361,1849.24551948905,1849.24551948905,left,0,0.368206188082695,1849.24551948905,1849.24551948905,1849.7503632828593,1849.7503632828593,0.0011782869696617126,0.49005693942308426,0.7903609946370125,1849.730601631105,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,1849.7310186177492,go,circleblack.png,left,0.3,1849.7503632828593,1849.7503632828593,1850.2467597350478,1850.2467597350478,1850.2635837048292,1850.5470970794559,1851.0463046655059,1851.2476681545377,1852.2489041239023,1852.2653845697641,left,1,0.3678441345691681,1852.2653845697641,1852.2653845697641,1852.7702435702085,1852.7702435702085,0.0018739700317382812,0.49018674343824387,0.7902976050972939,1852.7504291534424,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s038,001,2024-09-26_11h02.24.969,simplestop_skeleton,2022.2.2,60.58202883269517,
