Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,left,circleblack.png,left,1.039037249982357,0.35,go
1.0,practice,right,squareblack.png,right,0.5277629122138023,0.35,go
1.0,practice,right,squareblack.png,right,0.5940745770931244,0.35,go
1.0,practice,right,squareblack.png,right,0.4391815960407257,0.35,stop
1.0,practice,left,circleblack.png,left,0.4217262864112854,0.3,stop
1.0,practice,left,circleblack.png,,,0.25,go
1.0,practice,left,circleblack.png,left,0.4464188814163208,0.25,go
1.0,practice,right,squareblack.png,right,0.3451459780335426,0.25,go
1.0,practice,right,squareblack.png,right,0.6166602894663811,0.25,stop
1.0,practice,left,circleblack.png,left,0.3943312093615532,0.2,go
1.0,practice,right,squareblack.png,right,0.4142890125513077,0.2,go
1.0,practice,left,circleblack.png,left,0.458869494497776,0.2,stop
1.0,practice,right,squareblack.png,,,0.15,stop
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,right,0.4077227041125297,0.25,go
1.0,practice,left,circleblack.png,left,0.5025059729814529,0.25,go
1.0,practice,right,squareblack.png,,,0.25,stop
1.0,practice,right,squareblack.png,left,0.368206188082695,0.3,go
1.0,practice,left,circleblack.png,left,0.3678441345691681,0.3,go
1.0,practice,left,circleblack.png,left,0.5025545582175255,0.3,go
1.0,practice,right,squareblack.png,right,0.6065620258450508,0.3,go
1.0,practice,right,squareblack.png,right,0.4753872603178024,0.3,go
1.0,practice,left,circleblack.png,left,0.3234002143144607,0.3,go
1.0,practice,left,circleblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.4196821078658104,0.35,go
1.0,test,left,circleblack.png,left,0.3449728861451149,0.35,go
1.0,test,right,squareblack.png,right,0.4012645557522774,0.35,stop
1.0,test,left,circleblack.png,left,0.5900539234280586,0.3,go
1.0,test,right,squareblack.png,right,0.4626526087522506,0.3,go
1.0,test,right,squareblack.png,right,0.4644892439246177,0.3,go
1.0,test,left,circleblack.png,left,0.5727002248167992,0.3,stop
1.0,test,right,squareblack.png,right,0.6777038350701332,0.25,go
1.0,test,left,circleblack.png,,,0.25,stop
1.0,test,right,squareblack.png,right,0.4683706015348434,0.3,stop
1.0,test,left,circleblack.png,left,0.4391199201345444,0.25,go
1.0,test,right,squareblack.png,right,0.3494680747389793,0.25,go
1.0,test,left,circleblack.png,left,0.7121495977044106,0.25,go
1.0,test,left,circleblack.png,left,0.5560476332902908,0.25,go
1.0,test,left,circleblack.png,,,0.25,stop
1.0,test,left,circleblack.png,,,0.3,stop
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,right,squareblack.png,right,0.5353017672896385,0.4,go
1.0,test,right,squareblack.png,right,0.5826843529939651,0.4,go
1.0,test,right,squareblack.png,right,0.5991543084383011,0.4,go
1.0,test,right,squareblack.png,,,0.4,stop
1.0,test,right,squareblack.png,right,0.6165159121155739,0.45,go
1.0,test,left,circleblack.png,left,0.322346456348896,0.45,go
1.0,test,left,circleblack.png,left,0.5345934852957726,0.45,go
1.0,test,right,squareblack.png,right,0.5794758051633835,0.45,go
1.0,test,left,circleblack.png,left,0.55218256264925,0.45,go
1.0,test,right,squareblack.png,right,0.6279365420341492,0.45,stop
1.0,test,right,squareblack.png,right,0.7854512706398964,0.4,go
1.0,test,left,circleblack.png,left,0.4560044035315513,0.4,stop
1.0,test,left,circleblack.png,,,0.35,stop
1.0,test,right,squareblack.png,,,0.4,stop
1.0,test,left,circleblack.png,left,0.5346395149827003,0.45,go
1.0,test,right,squareblack.png,right,0.3975906521081924,0.45,go
1.0,test,right,squareblack.png,right,0.3219328075647354,0.45,go
1.0,test,left,circleblack.png,left,0.2857899293303489,0.45,go
1.0,test,left,circleblack.png,left,0.3778739720582962,0.45,go
1.0,test,left,circleblack.png,right,0.3121272623538971,0.45,stop
1.0,test,right,squareblack.png,right,0.2510789707303047,0.4,stop
1.0,test,left,circleblack.png,left,0.3835407271981239,0.35,stop
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.6017538458108902,0.35,go
1.0,test,left,circleblack.png,left,0.7402019426226616,0.35,go
1.0,test,right,squareblack.png,right,0.414359413087368,0.35,go
1.0,test,right,squareblack.png,right,0.7183321043848991,0.35,go
1.0,test,left,circleblack.png,left,0.5532651618123055,0.35,go
1.0,test,right,squareblack.png,right,0.5181981101632118,0.35,go
1.0,test,right,squareblack.png,right,0.4258254319429397,0.35,go
1.0,test,left,circleblack.png,right,0.3064101114869118,0.35,go
2.0,test,right,squareblack.png,right,0.7130938991904259,0.35,stop
2.0,test,right,squareblack.png,right,0.5101470351219177,0.3,go
2.0,test,left,circleblack.png,left,0.4899945110082626,0.3,go
2.0,test,left,circleblack.png,left,0.3694309741258621,0.3,go
2.0,test,left,circleblack.png,left,0.4310968816280365,0.3,stop
2.0,test,left,circleblack.png,left,0.5018235594034195,0.25,go
2.0,test,right,squareblack.png,right,0.425584152340889,0.25,stop
2.0,test,left,circleblack.png,left,0.4674470946192741,0.2,go
2.0,test,right,squareblack.png,right,0.635630413889885,0.2,go
2.0,test,right,squareblack.png,right,0.551594577729702,0.2,go
2.0,test,right,squareblack.png,right,0.6350125372409821,0.2,go
2.0,test,left,circleblack.png,left,0.5014084428548813,0.2,stop
2.0,test,left,circleblack.png,left,0.6388726904988289,0.15,go
2.0,test,left,circleblack.png,left,0.5717185586690903,0.15,go
2.0,test,right,squareblack.png,right,0.7463157773017883,0.15,go
2.0,test,right,squareblack.png,,,0.15,stop
2.0,test,right,squareblack.png,right,0.5660615414381027,0.2,go
2.0,test,right,squareblack.png,,,0.2,stop
2.0,test,left,circleblack.png,left,0.4719898030161857,0.25,go
2.0,test,right,squareblack.png,right,0.4402175843715668,0.25,go
2.0,test,left,circleblack.png,left,0.351020485162735,0.25,go
2.0,test,left,circleblack.png,,,0.25,stop
2.0,test,right,squareblack.png,right,0.421925887465477,0.3,go
2.0,test,left,circleblack.png,left,0.4278385415673256,0.3,stop
2.0,test,right,squareblack.png,right,0.2016670405864715,0.25,stop
2.0,test,left,circleblack.png,left,0.6878595948219299,0.2,go
2.0,test,right,squareblack.png,right,0.7126436159014702,0.2,go
2.0,test,left,circleblack.png,left,0.6450289264321327,0.2,go
2.0,test,right,squareblack.png,right,0.6843628957867622,0.2,go
2.0,test,left,circleblack.png,left,0.8189482912421227,0.2,go
2.0,test,left,circleblack.png,,,0.2,stop
2.0,test,left,circleblack.png,,,0.25,stop
2.0,test,right,squareblack.png,right,0.7389971166849136,0.3,go
2.0,test,right,squareblack.png,right,0.793293796479702,0.3,go
2.0,test,left,circleblack.png,left,0.5813349783420563,0.3,go
2.0,test,right,squareblack.png,,,0.3,stop
2.0,test,left,circleblack.png,left,0.4408068731427192,0.35,go
2.0,test,left,circleblack.png,left,0.540806233882904,0.35,go
2.0,test,right,squareblack.png,left,0.434929184615612,0.35,go
2.0,test,right,squareblack.png,left,0.4512620121240616,0.35,stop
2.0,test,left,circleblack.png,left,0.360061451792717,0.3,go
2.0,test,left,circleblack.png,left,0.4218672811985016,0.3,stop
2.0,test,left,circleblack.png,left,0.446430042386055,0.25,go
2.0,test,right,squareblack.png,,,0.25,stop
2.0,test,right,squareblack.png,left,0.5074665546417236,0.3,go
2.0,test,right,squareblack.png,,,0.3,go
2.0,test,right,squareblack.png,right,0.4184836000204086,0.3,go
2.0,test,left,circleblack.png,,,0.3,stop
3.0,test,left,circleblack.png,right,0.9666813537478448,0.35,go
3.0,test,right,squareblack.png,right,0.362012431025505,0.35,go
3.0,test,right,squareblack.png,right,0.6267450377345085,0.35,go
3.0,test,right,squareblack.png,right,0.378738209605217,0.35,stop
3.0,test,right,squareblack.png,right,0.5847553759813309,0.3,go
3.0,test,left,circleblack.png,left,0.3573147505521774,0.3,go
3.0,test,right,squareblack.png,right,0.5177396312355995,0.3,go
3.0,test,left,circleblack.png,left,0.5395380109548569,0.3,go
3.0,test,left,circleblack.png,left,0.5862204283475876,0.3,stop
3.0,test,left,circleblack.png,left,0.4365113005042076,0.25,go
3.0,test,left,circleblack.png,,,0.25,stop
3.0,test,right,squareblack.png,right,0.3980194479227066,0.3,stop
3.0,test,left,circleblack.png,left,0.5518588647246361,0.25,go
3.0,test,right,squareblack.png,right,0.6880135536193848,0.25,go
3.0,test,left,circleblack.png,left,0.6519652456045151,0.25,go
3.0,test,left,circleblack.png,left,0.6840338185429573,0.25,go
3.0,test,right,squareblack.png,right,0.6833909749984741,0.25,go
3.0,test,right,squareblack.png,right,0.4946821480989456,0.25,go
3.0,test,left,circleblack.png,left,0.4106515720486641,0.25,stop
3.0,test,right,squareblack.png,,,0.2,stop
3.0,test,right,squareblack.png,,,0.25,stop
3.0,test,left,circleblack.png,left,0.4757703691720962,0.3,go
3.0,test,right,squareblack.png,right,0.4467903822660446,0.3,go
3.0,test,left,circleblack.png,,,0.3,stop
3.0,test,right,squareblack.png,right,0.6208388209342957,0.35,go
3.0,test,left,circleblack.png,left,0.5918936356902122,0.35,go
3.0,test,right,squareblack.png,right,0.5767338424921036,0.35,go
3.0,test,left,circleblack.png,left,0.4338832944631576,0.35,stop
3.0,test,left,circleblack.png,left,0.6243229880928993,0.3,go
3.0,test,right,squareblack.png,right,0.5032698288559914,0.3,go
3.0,test,left,circleblack.png,left,0.5726248174905777,0.3,go
3.0,test,left,circleblack.png,left,0.5719485655426979,0.3,go
3.0,test,right,squareblack.png,right,0.5360886380076408,0.3,stop
3.0,test,left,circleblack.png,,,0.25,stop
3.0,test,right,squareblack.png,,,0.3,stop
3.0,test,right,squareblack.png,right,0.6367933601140976,0.35,go
3.0,test,left,circleblack.png,left,0.6908328980207443,0.35,go
3.0,test,right,squareblack.png,right,0.3893318921327591,0.35,go
3.0,test,right,squareblack.png,right,0.4425462186336517,0.35,go
3.0,test,left,circleblack.png,left,0.4807313755154609,0.35,go
3.0,test,left,circleblack.png,right,0.429375521838665,0.35,go
3.0,test,right,squareblack.png,,,0.35,stop
3.0,test,right,squareblack.png,right,0.5429437682032585,0.4,stop
3.0,test,left,circleblack.png,,,0.35,stop
3.0,test,right,squareblack.png,right,0.6123991534113884,0.4,go
3.0,test,left,circleblack.png,left,0.5554578974843025,0.4,stop
3.0,test,right,squareblack.png,right,0.6618526056408882,0.35,go
3.0,test,left,circleblack.png,left,0.8580491095781326,0.35,go
