corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,2,0,2,0,7,3,31,2,,,,,,,,,3868.2436411716044,stop,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0018875710666179657,0.48966410011053085,0.8400297947227955,3870.7461063712835,test,3,,,,,,,,,,3868.2625385969877,3868.7594743147492,3868.7594743147492,3868.7758439816535,3869.110178951174,3869.6259325370193,3869.7588788978755,3870.7651751711965,None,0,,0.4,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,8,0,32,1,,,,,,,,,3870.7465475983918,stop,squareblack.png,right,0.4,,,,,,,,,,,,,,,0.0017048120498657227,0.4896301291882992,0.890834391117096,3873.2487429492176,test,3,,,,,,,,,,3870.7651751711965,3871.2620042786,3871.2620042786,3871.2786656469107,3871.662849854678,3872.1782692559063,3872.2616224586964,3873.2678712569177,left,0,0.48398585617542267,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,8,1,33,2,,,,,,,,,3873.2492263913155,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,0.001312948763370514,0.4895889274775982,,3875.7514892071486,test,3,,,,,,,,,,3873.2678712569177,3873.76467499882,3873.76467499882,3873.7814845107496,3874.1156163290143,3874.631597381085,3874.764312144369,3875.7708906307817,left,0,0.5013683289289474,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,8,2,34,3,,,,,,,,,3875.7519284151495,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0019289888441562653,0.48960985988378525,,3878.254364769906,test,3,,,,,,,,,,3875.7708906307817,3876.267457872629,3876.267457872629,3876.2842543944716,3876.6179197840393,3877.1336941868067,3877.2674121037126,3878.273441839963,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,8,3,35,2,,,,,,,,,3878.2548046149313,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0013693496584892273,0.48955511674284935,,3880.75694456324,test,3,,,,,,,,,,3878.273441839963,3878.770385824144,3878.770385824144,3878.786802522838,3879.120676536113,3879.6200926713645,3879.769912801683,3880.776227079332,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,9,0,36,2,,,,,,,,,3880.7573887892067,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.001386243849992752,0.4894307069480419,,3883.2596479319036,test,3,,,,,,,,,,3880.776227079332,3881.2729956135154,3881.2729956135154,3881.2897526472807,3881.6232633925974,3882.122514542192,3882.272686444223,3883.279158424586,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,9,1,37,1,,,,,,,,,3883.2600919529796,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,0.001691434532403946,0.48969392850995064,,3885.7629539445043,test,3,,,,,,,,,,3883.279158424586,3883.7758696861565,3883.7758696861565,3883.792593050748,3884.1261863410473,3884.62526800856,3884.775591749698,3885.782440468669,left,0,0.43448198214173317,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,9,2,38,0,,,,,,,,,3885.7634685337543,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,0.0022219568490982056,0.48873890191316605,,3888.265122614801,test,3,,,,,,,,,,3885.782440468669,3886.278596483171,3886.278596483171,3886.295149002224,3886.629021476954,3887.127961244434,3887.2783446647227,3888.2839932590723,left,0,0.42255542054772377,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,9,3,39,1,,,,,,,,,3888.2655497305095,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,0.0011913925409317017,0.4897116534411907,0.8401436284184456,3890.7681866437197,test,3,,,,,,,,,,3888.2839932590723,3888.7812878489494,3888.7812878489494,3888.797950260341,3889.131705157459,3889.630905110389,3889.7809056416154,3890.7880264110863,left,0,0.4087557755410671,0.3,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,10,0,40,3,,,,,,,,,3890.7686118111014,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,0.0024471282958984375,0.48933155462145805,0.7898029498755932,3893.2707189284265,test,3,,,,,,,,,,3890.7880264110863,3891.284023873508,3891.284023873508,3891.300729162991,3891.584349375218,3892.084884338081,3892.284126803279,3893.290171202272,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,10,1,41,1,,,,,,,,,3893.271143808961,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,0.0018094107508659363,0.4896377697587013,0.8400487378239632,3895.7736719362438,test,3,,,,,,,,,,3893.290171202272,3893.786875203252,3893.786875203252,3893.803481053561,3894.137131869793,3894.636325247586,3894.786823682487,3895.793392185122,left,0,0.451542753726244,0.3,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,10,2,42,2,,,,,,,,,3895.7741174958646,go,squareblack.png,right,0.3,,,,,,,,,,,,,,,0.0015322677791118622,0.48912523314356804,,3898.276323903352,test,3,,,,,,,,,,3895.793392185122,3896.289483062923,3896.289483062923,3896.3062959313393,3896.5898294001818,3897.089064795524,3897.289237100631,3898.2951261401176,left,0,0.3656461499631405,0.3,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,10,3,43,0,,,,,,,,,3898.2767710126936,go,squareblack.png,right,0.3,,,,,,,,,,,,,,,0.001230381429195404,0.48839762806892395,,3900.7790911495686,test,3,,,,,,,,,,3898.2951261401176,3898.791073858738,3898.791073858738,3898.80778067559,3899.092301107943,3899.591751329601,3899.792164646089,3900.798950497061,left,0,0.4528619721531868,0.3,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,11,0,44,0,,,,,,,,,3900.779534637928,go,circleblack.png,left,0.3,,,,,,,,,,,,,,,0.0021047256886959076,0.48949724808335304,,3903.281687874347,test,3,,,,,,,,,,3900.798950497061,3901.2950820587575,3901.2950820587575,3901.3118760176003,3901.595403842628,3902.094551742077,3902.295173060149,3903.3009194247425,None,0,,0.3,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,11,1,45,3,,,,,,,,,3903.2821227759123,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,0.0013243183493614197,0.4898092970252037,0.7900448217988014,3905.7845785580575,test,3,,,,,,,,,,3903.3009194247425,3903.7977786026895,3903.7977786026895,3903.8144234232605,3904.098094943911,3904.5973030999303,3904.797670401633,3905.8040173202753,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,11,2,46,0,,,,,,,,,3905.7850274294615,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0013518892228603363,0.4896019883453846,,3908.2877982892096,test,3,,,,,,,,,,3905.8040173202753,3906.3007294908166,3906.3007294908166,3906.3172547742724,3906.651089888066,3907.1519218422472,3907.301925390959,3908.310194797814,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
None,None,,,,,,,,,2,0,2,0,11,3,47,3,,,,,,,,,3908.288271740079,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0018125958740711212,0.48585178330540657,,3910.7902696095407,test,3,,,,,,,,,,3908.310194797814,3908.803205382079,3908.803205382079,3908.820301335305,3909.1543478518724,3909.6696035712957,3909.8032513447106,3910.805942066014,None,0,,0.35,,,,,,,,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910.805942066014,3910.805942066014,return,2.5105074010789394,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}]",,,,,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913.3421676829457,3913.3421676829457,return,2.086381185799837,s019 ,001,2024-07-25_15h46.14.218,simplestop_skeleton,2022.2.2,60.02564974941372,
