Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,,,0.35,stop
1.0,practice,left,circleblack.png,,,0.4,go
1.0,practice,left,circleblack.png,right,0.2392751686275005,0.4,go
1.0,practice,left,circleblack.png,left,0.3743791505694389,0.4,stop
1.0,practice,right,squareblack.png,right,0.3178411498665809,0.35,stop
1.0,practice,right,squareblack.png,right,0.4389057010412216,0.3,go
1.0,practice,right,squareblack.png,right,0.3677390217781067,0.3,go
1.0,practice,left,circleblack.png,left,0.3678651638329029,0.3,go
1.0,practice,left,circleblack.png,left,0.3566758893430233,0.3,go
1.0,practice,left,circleblack.png,left,0.2958825528621673,0.3,stop
1.0,practice,right,squareblack.png,right,0.3393732383847236,0.25,go
1.0,practice,right,squareblack.png,left,0.2774072885513305,0.25,go
1.0,practice,right,squareblack.png,left,0.4231405220925808,0.25,stop
1.0,practice,left,circleblack.png,left,0.3148296847939491,0.2,go
1.0,practice,right,squareblack.png,right,0.5178305730223656,0.2,go
1.0,practice,left,circleblack.png,left,0.3267724737524986,0.2,go
1.0,practice,left,circleblack.png,left,0.3572762571275234,0.2,stop
1.0,practice,left,circleblack.png,left,0.3732822015881538,0.15,go
1.0,practice,right,squareblack.png,left,0.3858038336038589,0.15,go
1.0,practice,left,circleblack.png,left,0.4981226474046707,0.15,go
1.0,practice,right,squareblack.png,right,0.3461684435606003,0.15,stop
1.0,practice,left,circleblack.png,left,0.3987533859908581,0.1,stop
1.0,practice,right,squareblack.png,right,0.5394441038370132,0.05,go
1.0,practice,right,squareblack.png,right,0.4978220909833908,0.05,go
1.0,test,right,squareblack.png,right,0.4339718855917454,0.05,go
1.0,test,right,squareblack.png,right,0.3590763658285141,0.05,go
1.0,test,left,circleblack.png,left,0.4060605950653553,0.05,go
1.0,test,left,circleblack.png,left,0.3098414801061153,0.05,go
1.0,test,right,squareblack.png,right,0.334601528942585,0.05,go
1.0,test,left,circleblack.png,,,0.05,stop
1.0,test,right,squareblack.png,,,0.1,stop
1.0,test,left,circleblack.png,left,0.3840508610010147,0.15,go
1.0,test,right,squareblack.png,,,0.15,stop
1.0,test,left,circleblack.png,left,0.4226958900690079,0.2,go
1.0,test,right,squareblack.png,right,0.6104708723723888,0.2,go
1.0,test,left,circleblack.png,left,0.3251495845615864,0.2,stop
1.0,test,left,circleblack.png,left,0.2811215035617351,0.15,go
1.0,test,right,squareblack.png,right,0.8508996330201626,0.15,go
1.0,test,right,squareblack.png,right,0.3842972330749035,0.15,go
1.0,test,left,circleblack.png,left,0.3176207691431045,0.15,go
1.0,test,right,squareblack.png,right,0.273811899125576,0.15,go
1.0,test,left,circleblack.png,left,0.2739852033555507,0.15,stop
1.0,test,right,squareblack.png,,,0.1,stop
1.0,test,left,circleblack.png,left,0.345643863081932,0.15,stop
1.0,test,right,squareblack.png,right,0.6416389457881451,0.1,go
1.0,test,left,circleblack.png,right,0.3477122448384762,0.1,go
1.0,test,right,squareblack.png,,,0.1,stop
1.0,test,left,circleblack.png,left,0.3505310453474521,0.15,go
1.0,test,left,circleblack.png,right,0.3726604059338569,0.15,go
1.0,test,right,squareblack.png,right,0.4510322175920009,0.15,go
1.0,test,left,circleblack.png,left,0.3255748152732849,0.15,stop
1.0,test,left,circleblack.png,left,0.3110369443893432,0.1,go
1.0,test,right,squareblack.png,,,0.1,stop
1.0,test,left,circleblack.png,left,0.3513744100928306,0.15,go
1.0,test,right,squareblack.png,right,0.5182612650096416,0.15,go
1.0,test,right,squareblack.png,,,0.15,stop
