Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,left,circleblack.png,left,0.9717697948217392,0.35,stop
1.0,practice,left,circleblack.png,right,0.1050938740372657,0.3,go
1.0,practice,left,circleblack.png,right,0.0894307121634483,0.3,go
1.0,practice,left,circleblack.png,left,0.3297338262200355,0.3,stop
1.0,practice,right,squareblack.png,right,0.8337924256920815,0.25,go
1.0,practice,right,squareblack.png,left,0.2028572186827659,0.25,go
1.0,practice,right,squareblack.png,right,0.2623589485883713,0.25,go
1.0,practice,left,circleblack.png,left,0.291964404284954,0.25,go
1.0,practice,left,circleblack.png,left,0.5010377690196037,0.25,go
1.0,practice,right,squareblack.png,right,0.3085790574550628,0.25,go
1.0,practice,right,squareblack.png,right,0.5190227031707764,0.25,stop
1.0,practice,right,squareblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,right,0.4778070375323295,0.25,go
1.0,practice,right,squareblack.png,right,0.558812215924263,0.25,go
1.0,practice,left,circleblack.png,left,0.7468336820602417,0.25,go
1.0,practice,left,circleblack.png,left,0.6081737130880356,0.25,go
1.0,practice,left,circleblack.png,left,0.697970561683178,0.25,go
1.0,practice,right,squareblack.png,right,0.514428623020649,0.25,go
1.0,practice,left,circleblack.png,,,0.25,stop
1.0,practice,right,squareblack.png,,,0.3,stop
1.0,practice,right,squareblack.png,,,0.35,stop
1.0,practice,left,circleblack.png,left,0.4893185123801231,0.4,stop
1.0,practice,left,circleblack.png,left,0.706734411418438,0.35,go
1.0,practice,right,squareblack.png,right,0.5588762611150742,0.35,go
1.0,test,right,squareblack.png,right,0.625707820057869,0.35,go
1.0,test,right,squareblack.png,right,0.5424245074391365,0.35,go
1.0,test,right,squareblack.png,right,0.4677173718810081,0.35,go
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,left,circleblack.png,left,0.3559402301907539,0.4,go
1.0,test,left,circleblack.png,left,0.7425976395606995,0.4,go
1.0,test,right,squareblack.png,right,0.6685951575636864,0.4,go
1.0,test,left,circleblack.png,left,0.4555238336324692,0.4,stop
1.0,test,left,circleblack.png,left,0.706668071448803,0.35,go
1.0,test,left,circleblack.png,left,0.8977894186973572,0.35,go
1.0,test,right,squareblack.png,,,0.35,stop
1.0,test,left,circleblack.png,,,0.4,stop
