corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,160.1348073258996,go,circleblack.png,left,0.2,160.15460665151477,160.15460665151477,160.65085922926664,160.65085922926664,160.66741727665067,160.8509587571025,161.35005543753505,161.6503504216671,162.65287222340703,162.6696106866002,left,1,162.6696106866002,162.6696106866002,0.0018157735466957092,0.49007225036621094,0.6902507096529007,163.1544024758041,practice,1,163.17424485087395,163.17424485087395,0.3348506726324558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,2,10,0,,,,,,,,,,,,,,,,,163.15484570339322,stop,circleblack.png,left,0.2,163.17424485087395,163.17424485087395,163.67085378617048,163.67085378617048,163.68745339661837,163.8709528632462,164.37003937363625,164.6704159528017,165.67331305518746,165.68964648246765,right,0,165.68964648246765,165.68964648246765,0.0013209320604801178,0.4896731302142143,0.6900005973875523,166.1745834760368,practice,1,166.1943731866777,166.1943731866777,0.35623571276664734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,2,3,11,3,,,,,,,,,,,,,,,,,166.17508540302515,go,squareblack.png,right,0.15,166.1943731866777,166.1943731866777,166.69090062752366,166.69090062752366,166.70772767812014,166.84110863134265,167.341922942549,167.69039028137922,168.69290009513497,168.70962297916412,right,1,168.70962297916412,168.70962297916412,0.0016998834908008575,0.49007827043533325,0.6401071175932884,169.19439646229148,practice,1,169.2144292742014,169.2144292742014,0.48501310124993324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,3,0,12,3,,,,,,,,,,,,,,,,,169.19481628760695,stop,circleblack.png,left,0.15,169.2144292742014,169.2144292742014,169.71078246831894,169.71078246831894,169.7275660224259,169.8610332943499,170.36152195185423,170.71184239909053,171.71298694983125,171.72964575514197,None,0,171.72964575514197,171.72964575514197,0.0018429383635520935,0.4901019521057606,0.6402783095836639,172.21445813775063,practice,1,172.23407123610377,172.23407123610377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,3,1,13,1,,,,,,,,,,,,,,,,,172.21489410847425,stop,squareblack.png,right,0.2,172.23407123610377,172.23407123610377,172.7310903519392,172.7310903519392,172.7474000006914,172.93138871714473,173.44674231484532,173.7317384928465,174.73329723998904,174.7495414018631,right,1,174.7495414018631,174.7495414018631,0.0016378462314605713,0.4900606945157051,0.6903355568647385,175.2343586087227,practice,1,175.25378827005625,175.25378827005625,0.5666064694523811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,175.23480485752225,go,squareblack.png,right,0.15,175.25378827005625,175.25378827005625,175.7511934004724,175.7511934004724,175.76749832555652,175.90095399692655,176.40185848250985,176.7503387965262,177.7529048845172,177.7529048845172,right,1,177.7529048845172,177.7529048845172,0.0011910498142242432,0.4902603328227997,0.6402954459190369,178.23783646151423,practice,1,178.2575973905623,178.2575973905623,0.4813846983015537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,3,15,0,,,,,,,,,,,,,,,,,178.23825945705175,stop,squareblack.png,right,0.15,178.2575973905623,178.2575973905623,178.75416620075703,178.75416620075703,178.77107468247414,178.90427424013615,179.40481135621667,179.75512344762683,180.75607585534453,180.77272284775972,None,0,180.77272284775972,180.77272284775972,0.0012004561722278595,0.4897412471473217,0.6400662437081337,181.25750435888767,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,4,0,16,1,,,,,,,,,,,,,,,,,181.25793496519327,go,squareblack.png,right,0.2,181.27684953063726,181.27684953063726,181.77381931245327,181.77381931245327,181.79061233997345,181.97420025244355,182.47316017001867,182.77361894771457,183.77607749402523,183.77607749402523,right,1,183.77607749402523,183.77607749402523,0.0011894963681697845,0.49024859070777893,0.6901068575680256,184.2608561180532,practice,1,184.28084627911448,184.28084627911448,0.36893167719244957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,4,1,17,2,,,,,,,,,,,,,,,,,184.2613049261272,go,circleblack.png,left,0.2,184.28084627911448,184.28084627911448,184.77733832970262,184.77733832970262,184.7939177751541,184.9773589298129,185.47852750867605,185.7769551575184,186.7796231545508,186.79643175005913,left,1,186.79643175005913,186.79643175005913,0.001902509480714798,0.4902947396039963,0.6905019730329514,187.28111726790667,practice,1,187.30081808939576,187.30081808939576,0.4916455112397671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
None,None,0,0,0,0,4,2,18,2,,,,,,,,,,,,,,,,,187.2815356068313,go,circleblack.png,left,0.2,187.30081808939576,187.30081808939576,187.797604393214,187.797604393214,187.81422078609467,187.9974318407476,188.49659051001072,188.79696880280972,189.79971173405647,189.81639701873064,left,1,189.81639701873064,189.81639701873064,0.0012537948787212372,0.49013951048254967,0.6902416050434113,190.3010788075626,practice,1,190.32086059078574,190.32086059078574,0.4233264662325382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s005,001,2024-06-20_13h00.40.131,simplestop_skeleton,2022.2.2,60.169758069948145,
