Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,right,squareblack.png,right,0.2845290005207062,0.35,stop
1.0,practice,left,circleblack.png,left,0.6405809931457043,0.3,go
1.0,practice,right,squareblack.png,right,0.4193697199225425,0.3,stop
1.0,practice,left,circleblack.png,left,0.5261471197009087,0.25,stop
1.0,practice,left,circleblack.png,left,0.5789808295667171,0.2,go
1.0,practice,left,circleblack.png,left,0.4494717419147491,0.2,go
1.0,practice,right,squareblack.png,right,0.48685272783041,0.2,go
1.0,practice,left,circleblack.png,left,0.3348506726324558,0.2,go
1.0,practice,left,circleblack.png,right,0.3562357127666473,0.2,stop
1.0,practice,right,squareblack.png,right,0.4850131012499332,0.15,go
1.0,practice,left,circleblack.png,,,0.15,stop
1.0,practice,right,squareblack.png,right,0.5666064694523811,0.2,stop
1.0,practice,right,squareblack.png,right,0.4813846983015537,0.15,go
1.0,practice,right,squareblack.png,,,0.15,stop
1.0,practice,right,squareblack.png,right,0.3689316771924495,0.2,go
1.0,practice,left,circleblack.png,left,0.4916455112397671,0.2,go
1.0,practice,left,circleblack.png,left,0.4233264662325382,0.2,go
1.0,practice,right,squareblack.png,right,0.4963435977697372,0.2,go
1.0,practice,left,circleblack.png,left,0.2936645336449146,0.2,go
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,left,circleblack.png,left,0.4736723937094211,0.25,go
1.0,practice,right,squareblack.png,right,0.3912275545299053,0.25,go
1.0,test,right,squareblack.png,,,0.25,stop
1.0,test,right,squareblack.png,right,0.4600839130580425,0.3,go
1.0,test,left,circleblack.png,left,0.3883572816848755,0.3,stop
1.0,test,left,circleblack.png,left,0.4223907403647899,0.25,go
1.0,test,left,circleblack.png,left,0.386201873421669,0.25,go
1.0,test,right,squareblack.png,right,0.3810594193637371,0.25,go
1.0,test,right,squareblack.png,right,0.3678958788514137,0.25,go
1.0,test,right,squareblack.png,right,0.3457919992506504,0.25,stop
1.0,test,left,circleblack.png,left,0.4917219653725624,0.2,go
1.0,test,right,squareblack.png,right,0.4862401857972145,0.2,go
1.0,test,left,circleblack.png,left,0.4142942167818546,0.2,go
1.0,test,left,circleblack.png,,,0.2,stop
1.0,test,right,squareblack.png,right,0.3555178008973598,0.25,go
