corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,1,0,1,0,4,1,17,3,,,,,,,,,717.1824007630348,stop,squareblack.png,right,0.4,,,,,,,,,,,,,,,,,0.0016720332205295563,0.48979825899004936,0.8902732022106647,719.6847998946905,test,2,,,,,,,,717.2011082917452,717.6979475133121,717.6979475133121,717.7149208374321,718.0984116904438,718.5989993214607,718.6991465389729,719.7035189904273,None,0,0.45,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,4,2,18,2,,,,,,,,,719.6852364391088,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0013012140989303589,0.4901706352829933,,722.1874993629754,test,2,,,,,,,,719.7035189904273,720.2007094062865,720.2007094062865,720.2174565196037,720.6512241177261,721.1517623886466,721.2004328407347,722.2069105096161,right,1,0.45,0.6947604045271873,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,4,3,19,0,,,,,,,,,722.1880347430706,stop,circleblack.png,left,0.45,,,,,,,,,,,,,,,,,0.0018731579184532166,0.48930975049734116,0.9399168565869331,724.6901463419199,test,2,,,,,,,,722.2069105096161,722.7035521939397,722.7035521939397,722.7200112938881,723.1538376845419,723.654478598386,723.7044837735593,724.709159001708,None,0,0.5,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,5,0,20,3,,,,,,,,,724.6905887536705,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.0013283640146255493,0.4899400770664215,,727.1931612566113,test,2,,,,,,,,724.709159001708,725.2061845622957,725.2061845622957,725.222963731736,725.7067919075489,726.2074215374887,726.2074215374887,727.2121843881905,left,1,0.5,0.6301116086542606,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,5,1,21,0,,,,,,,,,727.1936044357717,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.0014297887682914734,0.48928819224238396,,729.6954713091254,test,2,,,,,,,,727.2121843881905,727.709003854543,727.709003854543,727.7256018705666,728.20963793993,728.725274823606,728.7086593173444,729.7147433646023,left,1,0.5,0.6720297187566757,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,5,2,22,3,,,,,,,,,729.695998813957,stop,squareblack.png,right,0.5,,,,,,,,,,,,,,,,,0.0017206929624080658,0.4899803623557091,0.9904334358870983,732.1985725238919,test,2,,,,,,,,729.7147433646023,730.2118024975061,730.2118024975061,730.2284260317683,730.7122761942446,731.2118068784475,731.2118068784475,732.2174669392407,right,1,0.45,0.6894172020256519,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,5,3,23,3,,,,,,,,,732.1990034431219,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0013619400560855865,0.4894060790538788,,734.7010478563607,test,2,,,,,,,,732.2174669392407,732.7144273668528,732.7144273668528,732.7311741374433,733.1647537052631,733.666068661958,733.7146536558867,734.7203143648803,right,1,0.45,0.698148813098669,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,6,0,24,2,,,,,,,,,734.7014777809381,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,,,0.0018205009400844574,0.48993826285004616,,737.2041311636567,test,2,,,,,,,,734.7203143648803,735.2172088436782,735.2172088436782,735.2337637655437,735.6679807901382,736.1681953407824,736.2183075137436,737.223256111145,None,0,0.45,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,6,1,25,2,,,,,,,,,737.2045580409467,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0018335245549678802,0.4896264225244522,,739.7067522592843,test,2,,,,,,,,737.223256111145,737.7201330028474,737.7201330028474,737.7368387505412,738.1704668216407,738.6704996451735,738.7206855379045,739.7254786044359,right,1,0.45,0.46001026406884193,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,6,2,26,1,,,,,,,,,739.7071947529912,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0011795386672019958,0.49005766212940216,,742.2099339924753,test,2,,,,,,,,739.7254786044359,740.2229668349028,740.2229668349028,740.2394925989211,740.6732305847108,741.1731915362179,741.2236561961472,742.228962212801,right,1,0.45,0.4776458144187927,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
