corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 0,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,Test Block: 1,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,8,3,35,0,,,,,,,,,1988.7657454162836,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0018208548426628113,0.4892571456730366,0.739719282835722,1991.2675515972078,,,,,,,,,,1988.7844730652869,1989.2976859807968,1989.2806915789843,1989.2806915789843,1989.5310847237706,1990.0316115170717,1990.2815329283476,1991.2860458157957,m,0,0.25,0.48047811537981033,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,9,0,36,3,,,,,,,,,1991.2678693123162,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0011711232364177704,0.4899906516075134,0.7402879521250725,1993.7705149576068,,,,,,,,,,1991.2860458157957,1991.8003943152726,1991.7835663743317,1991.7835663743317,1992.0337750948966,1992.5329577885568,1992.7841030694544,1993.7889014668763,m,0,0.25,0.4139188230037689,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,9,1,37,1,,,,,,,,,1993.7708302401006,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0012396164238452911,0.4899618923664093,0.7401473745703697,1996.2729770727456,,,,,,,,,,1993.7889014668763,1994.303180705756,1994.2865199930966,1994.2865199930966,1994.5368267334998,1995.035766530782,1995.2869462706149,1996.2914603613317,m,0,0.25,0.43842633813619614,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,9,2,38,3,,,,,,,,,1996.273285921663,stop,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.001194581389427185,0.4900967702269554,0.7406156659126282,1998.7757971175015,,,,,,,,,,1996.2914603613317,1996.8058122582734,1996.7895580381155,1996.7895580381155,1997.0395580381155,1997.5399667210877,1997.7905552759767,1998.7949247732759,None,1,0.3,,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,9,3,39,2,,,,,,,,,1998.7761278003454,stop,circleblack.png,z,0.3,,,,,,,,,,,,,,,0.001819804310798645,0.4899072162806988,0.7903557308018208,2001.2785150706768,,,,,,,,,,1998.7949247732759,1999.3084679432213,1999.291827403009,1999.291827403009,1999.5921931751072,2000.0926880016923,2000.29293326661,2001.297462310642,None,1,0.35,,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,10,0,40,1,,,,,,,,,2001.2788293249905,go,squareblack.png,m,0.35,,,,,,,,,,,,,,,0.0016929954290390015,0.4899907782673836,0.8404000252485275,2003.7815144397318,,,,,,,,,,2001.297462310642,2001.8113848119974,2001.7948893159628,2001.7948893159628,2002.1450004130602,2002.6442178748548,2002.7951356880367,2003.8005268834531,m,0,0.35,0.423439335078001,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,10,1,41,3,,,,,,,,,2003.7818380706012,go,circleblack.png,z,0.35,,,,,,,,,,,,,,,0.0017473362386226654,0.4898138754069805,0.8401985540986061,2006.2841605246067,,,,,,,,,,2003.8005268834531,2004.3142136521637,2004.2976756989956,2004.2976756989956,2004.6478123813868,2005.1642026789486,2005.297955494374,2006.3027684651315,z,0,0.35,0.48479439318180084,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,10,2,42,1,,,,,,,,,2006.2844748087227,stop,circleblack.png,z,0.35,,,,,,,,,,,,,,,0.00128878653049469,0.48996079713106155,0.8401491604745388,2008.7870445474982,,,,,,,,,,2006.3027684651315,2006.8169154115021,2006.800060685724,2006.800060685724,2007.1509262658656,2007.6668728329241,2007.8007201850414,2008.8055157363415,z,0,0.3,0.501645814627409,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,10,3,43,2,,,,,,,,,2008.7873664163053,go,circleblack.png,z,0.3,,,,,,,,,,,,,,,0.0012324042618274689,0.49010613188147545,0.7903681993484497,2011.289708647877,,,,,,,,,,2008.8055157363415,2009.3197155296803,2009.303056385368,2009.303056385368,2009.603467989713,2010.1038802862167,2010.3034076206386,2011.3086544685066,z,0,0.3,0.5178205408155918,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,11,0,44,3,,,,,,,,,2011.2900420352817,stop,squareblack.png,m,0.3,,,,,,,,,,,,,,,0.001673821359872818,0.4900771714746952,0.790166474878788,2013.7925103865564,,,,,,,,,,2011.3086544685066,2011.8223041854799,2011.8058279566467,2011.8058279566467,2012.1062695793808,2012.605470892042,2012.805289234966,2013.8117100559175,m,0,0.25,0.39188196510076523,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
