corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,48.6204936131835,go,squareblack.png,right,0.35,48.63974676281214,48.63974676281214,49.13635063916445,49.13635063916445,49.15293066948652,49.48695605248213,49.98744282126427,50.13754592090845,51.138759791851044,51.138759791851044,None,0,,51.138759791851044,51.138759791851044,51.643455408513546,51.643455408513546,0.0016250237822532654,0.49045008420944214,0.8406747207045555,51.62365113943815,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,2,2,10,3,,,,,,,,,,,,,,,,,51.62407039105892,go,circleblack.png,left,0.35,51.643455408513546,51.643455408513546,52.139901988208294,52.139901988208294,52.1562837138772,52.49015714228153,52.99075172096491,53.14074483513832,54.14202496409416,54.15852852165699,None,0,,54.15852852165699,54.15852852165699,54.663632690906525,54.663632690906525,0.0017708763480186462,0.4901086762547493,0.8403358086943626,54.643596313893795,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,2,3,11,2,,,,,,,,,,,,,,,,,54.64402870833874,go,squareblack.png,right,0.35,54.663632690906525,54.663632690906525,55.16001531481743,55.16001531481743,55.176496125757694,55.50995171815157,56.01060697436333,56.16089638322592,57.161875173449516,57.17875648289919,None,0,,57.17875648289919,57.17875648289919,57.683066725730896,57.683066725730896,0.0017805248498916626,0.4898006021976471,0.8403983563184738,57.66335245966911,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,57.66376216709614,go,circleblack.png,left,0.35,57.683066725730896,57.683066725730896,58.17988196760416,58.17988196760416,58.19891831278801,58.53006445616484,59.03065896034241,59.18077856302261,60.18199620395899,60.19873567670584,None,0,,60.19873567670584,60.19873567670584,,,0.0018480122089385986,0.4905032068490982,0.8410935327410698,60.68326573818922,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,3,1,13,3,,,,,,,,,,,,,,,,,60.68368571251631,stop,circleblack.png,left,0.35,60.702336341142654,60.702336341142654,61.202616199851036,61.202616199851036,61.216399788856506,61.55026262998581,62.05065435171127,62.21748711913824,63.20190615206957,63.20190615206957,None,0,,63.20190615206957,63.20190615206957,63.706223256886005,63.706223256886005,0.001248672604560852,0.490668922662735,0.8407155424356461,63.686814807355404,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,3,2,14,3,,,,,,,,,,,,,,,,,63.687233440577984,go,circleblack.png,left,0.4,63.706223256886005,63.706223256886005,64.20305681973696,64.20305681973696,64.21958123892546,64.60345348715782,65.10414206981659,65.20411232858896,66.20541675388813,66.20541675388813,None,0,,66.20541675388813,66.20541675388813,66.70982059836388,66.70982059836388,0.0012502074241638184,0.49023129791021347,0.8905867487192154,66.69012188911438,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,66.69055945426226,go,circleblack.png,left,0.4,66.70982059836388,66.70982059836388,67.20632907003164,67.20632907003164,67.22310351580381,67.60682477802038,68.10732491314411,68.20731791108847,69.20868072658777,69.22541853040457,None,0,,69.22541853040457,69.22541853040457,,,0.0012496337294578552,0.49033378809690475,0.890693187713623,69.7105023637414,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
None,None,0,0,0,0,4,0,16,2,,,,,,,,,,,,,,,,,69.71107200533152,go,squareblack.png,right,0.4,69.731843277812,69.731843277812,70.22637109458447,70.22637109458447,70.24297580122948,70.62687035650015,71.1273440271616,71.22762570530176,72.22878433018923,72.24541798233986,None,0,,72.24541798233986,72.24541798233986,72.75011786818504,72.75011786818504,0.0027705952525138855,0.4885861873626709,0.8892762213945389,72.73016859591007,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,1,17,0,,,,,,,,,,,,,,,,,72.73057996481657,stop,circleblack.png,left,0.4,72.75011786818504,72.75011786818504,73.24628867208958,73.24628867208958,73.26318772882223,73.64671310782433,74.14725028723478,74.24740672111511,75.2484917640686,75.265212059021,None,0,,75.265212059021,75.265212059021,,,0.0017850250005722046,0.4900255799293518,0.8906777426600456,75.7499857544899,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,75.75040538609028,go,squareblack.png,right,0.45,75.77007959783077,75.77007959783077,76.26627043634653,76.26627043634653,76.28316362947226,76.71681207418442,77.21739247441292,77.26737465709448,78.26835555583239,78.28512300550938,None,0,,78.28512300550938,78.28512300550938,78.78983021527529,78.78983021527529,0.0017381533980369568,0.4906453490257263,0.9407238364219666,78.76985938102007,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s026,001,2024-08-12_13h16.05.800,simplestop_skeleton,2022.2.2,60.300860651885706,
