Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,left,circleblack.png,right,1.2685986906290054,0.35,stop
1.0,practice,left,circleblack.png,right,0.7275487780570984,0.3,go
1.0,practice,left,circleblack.png,right,0.5373706370592117,0.3,stop
1.0,practice,right,squareblack.png,,,0.25,stop
1.0,practice,left,circleblack.png,,,0.3,go
1.0,practice,right,squareblack.png,,,0.3,go
1.0,practice,right,squareblack.png,,,0.3,go
1.0,practice,right,squareblack.png,,,0.3,stop
1.0,practice,left,circleblack.png,,,0.35,go
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,left,circleblack.png,,,0.35,go
1.0,practice,right,squareblack.png,,,0.35,go
1.0,practice,left,circleblack.png,,,0.35,go
1.0,practice,left,circleblack.png,,,0.35,stop
1.0,practice,left,circleblack.png,,,0.4,go
1.0,practice,left,circleblack.png,,,0.4,go
1.0,practice,right,squareblack.png,,,0.4,go
1.0,practice,left,circleblack.png,,,0.4,stop
1.0,practice,right,squareblack.png,,,0.45,go
1.0,practice,left,circleblack.png,,,0.45,go
1.0,practice,right,squareblack.png,,,0.45,go
1.0,practice,right,squareblack.png,,,0.45,go
1.0,practice,right,squareblack.png,,,0.45,stop
1.0,practice,right,squareblack.png,,,0.5,stop
1.0,test,left,circleblack.png,left,0.4375638514757156,0.55,stop
1.0,test,left,circleblack.png,left,0.5145467966794968,0.5,go
1.0,test,right,squareblack.png,right,0.4179424121975899,0.5,go
1.0,test,left,circleblack.png,left,0.6146153956651688,0.5,go
1.0,test,right,squareblack.png,right,0.6620574370026588,0.5,go
1.0,test,right,squareblack.png,right,0.5654494985938072,0.5,stop
1.0,test,right,squareblack.png,right,0.5433358326554298,0.45,go
1.0,test,left,circleblack.png,left,0.6888607069849968,0.45,go
1.0,test,left,circleblack.png,left,0.6902133151888847,0.45,stop
1.0,test,right,squareblack.png,right,0.6684610322117805,0.4,go
1.0,test,left,circleblack.png,left,0.6726602837443352,0.4,go
1.0,test,right,squareblack.png,,,0.4,stop
1.0,test,right,squareblack.png,right,0.6520792990922928,0.45,go
1.0,test,left,circleblack.png,left,0.7683133184909821,0.45,go
1.0,test,right,squareblack.png,right,0.6848398000001907,0.45,go
1.0,test,right,squareblack.png,right,0.6108499392867088,0.45,stop
1.0,test,left,circleblack.png,left,0.424068883061409,0.4,go
1.0,test,right,squareblack.png,right,0.5533107221126556,0.4,go
1.0,test,right,squareblack.png,right,0.6767857521772385,0.4,go
1.0,test,left,circleblack.png,,,0.4,stop
1.0,test,left,circleblack.png,left,0.4890370145440101,0.45,go
1.0,test,right,squareblack.png,right,0.6269803270697594,0.45,stop
1.0,test,left,circleblack.png,left,0.711738646030426,0.4,go
1.0,test,left,circleblack.png,,,0.4,stop
1.0,test,right,squareblack.png,right,0.6915611103177071,0.45,go
1.0,test,left,circleblack.png,left,0.6264541372656822,0.45,go
1.0,test,right,squareblack.png,,,0.45,stop
1.0,test,right,squareblack.png,right,0.6264972910284996,0.5,go
1.0,test,left,circleblack.png,,,0.5,stop
1.0,test,left,circleblack.png,left,0.6055962145328522,0.55,go
1.0,test,left,circleblack.png,left,0.56075669080019,0.55,stop
1.0,test,left,circleblack.png,left,0.5853400751948357,0.5,go
1.0,test,right,squareblack.png,right,0.3462739139795303,0.5,go
1.0,test,right,squareblack.png,right,0.6877615004777908,0.5,stop
1.0,test,left,circleblack.png,left,0.7032268941402435,0.45,go
1.0,test,right,squareblack.png,right,0.7350680455565453,0.45,go
1.0,test,left,circleblack.png,left,0.3589683622121811,0.45,go
1.0,test,right,squareblack.png,right,0.546524666249752,0.45,go
1.0,test,left,circleblack.png,,,0.45,stop
1.0,test,left,circleblack.png,left,0.5555252507328987,0.5,go
1.0,test,right,squareblack.png,,,0.5,stop
1.0,test,left,circleblack.png,left,0.6949914991855621,0.55,go
1.0,test,left,circleblack.png,left,0.6052738726139069,0.55,go
1.0,test,right,squareblack.png,right,0.6673131957650185,0.55,stop
1.0,test,right,squareblack.png,right,0.5779340639710426,0.5,go
1.0,test,left,circleblack.png,left,0.7065096795558929,0.5,stop
1.0,test,right,squareblack.png,right,0.8005705252289772,0.45,go
1.0,test,right,squareblack.png,right,0.839220829308033,0.45,go
2.0,test,left,circleblack.png,left,0.632331132888794,0.45,go
2.0,test,left,circleblack.png,left,0.3595068380236625,0.45,go
2.0,test,right,squareblack.png,right,0.4651732370257377,0.45,stop
2.0,test,right,squareblack.png,right,0.7012766525149345,0.4,go
2.0,test,left,circleblack.png,left,0.6944838091731071,0.4,go
2.0,test,left,circleblack.png,,,0.4,stop
2.0,test,right,squareblack.png,right,0.6720169112086296,0.45,go
2.0,test,left,circleblack.png,,,0.45,stop
2.0,test,right,squareblack.png,right,0.5847328007221222,0.5,go
2.0,test,right,squareblack.png,right,0.7893242761492729,0.5,go
2.0,test,left,circleblack.png,left,0.72312892973423,0.5,go
2.0,test,right,squareblack.png,right,0.6881386563181877,0.5,stop
2.0,test,right,squareblack.png,right,0.6053028255701065,0.45,go
2.0,test,left,circleblack.png,left,0.4940546825528145,0.45,go
2.0,test,left,circleblack.png,right,0.3413941860198974,0.45,go
2.0,test,right,squareblack.png,right,0.4656172916293144,0.45,stop
2.0,test,left,circleblack.png,left,0.472926065325737,0.4,go
2.0,test,right,squareblack.png,right,0.6779934465885162,0.4,go
2.0,test,left,circleblack.png,left,0.4449026882648468,0.4,stop
2.0,test,left,circleblack.png,left,0.5391814559698105,0.35,stop
2.0,test,left,circleblack.png,left,0.6835526823997498,0.3,go
2.0,test,right,squareblack.png,right,0.7218663915991783,0.3,go
2.0,test,right,squareblack.png,,,0.3,stop
2.0,test,right,squareblack.png,right,0.5956288352608681,0.35,go
2.0,test,right,squareblack.png,right,0.5908695310354233,0.35,go
2.0,test,right,squareblack.png,right,0.3787505999207496,0.35,go
2.0,test,left,circleblack.png,left,0.4715690985321998,0.35,stop
2.0,test,left,circleblack.png,left,0.6599596738815308,0.3,go
2.0,test,right,squareblack.png,right,0.6845936253666878,0.3,go
2.0,test,left,circleblack.png,left,0.7305807694792747,0.3,go
2.0,test,right,squareblack.png,,,0.3,stop
2.0,test,left,circleblack.png,left,0.6059452146291733,0.35,go
2.0,test,left,circleblack.png,,,0.35,stop
2.0,test,right,squareblack.png,,,0.4,stop
2.0,test,left,circleblack.png,left,0.6839454844594002,0.45,go
2.0,test,right,squareblack.png,right,0.8790553733706474,0.45,go
2.0,test,left,circleblack.png,left,0.5333996340632439,0.45,go
2.0,test,left,circleblack.png,left,0.5558331236243248,0.45,stop
2.0,test,right,squareblack.png,right,0.7019345089793205,0.4,go
2.0,test,left,circleblack.png,left,0.6126480847597122,0.4,go
2.0,test,left,circleblack.png,,,0.4,stop
2.0,test,right,squareblack.png,,,0.45,stop
2.0,test,right,squareblack.png,right,0.6813537552952766,0.5,go
2.0,test,left,circleblack.png,left,0.6458392590284348,0.5,go
2.0,test,right,squareblack.png,right,0.7690772414207458,0.5,go
2.0,test,left,circleblack.png,left,0.775641493499279,0.5,go
2.0,test,right,squareblack.png,right,0.8302312418818474,0.5,stop
2.0,test,right,squareblack.png,right,0.6579767316579819,0.45,go
3.0,test,right,squareblack.png,right,0.8003036007285118,0.45,go
3.0,test,right,squareblack.png,right,0.5663668066263199,0.45,go
3.0,test,left,circleblack.png,,,0.45,stop
3.0,test,left,circleblack.png,left,0.734793558716774,0.5,go
3.0,test,left,circleblack.png,left,0.8183995708823204,0.5,go
3.0,test,right,squareblack.png,right,0.713119626045227,0.5,go
3.0,test,right,squareblack.png,right,0.5097964107990265,0.5,go
3.0,test,left,circleblack.png,left,0.676291823387146,0.5,go
3.0,test,right,squareblack.png,,,0.5,stop
3.0,test,left,circleblack.png,left,0.6344994828104973,0.55,go
3.0,test,left,circleblack.png,left,0.6418775618076324,0.55,stop
3.0,test,right,squareblack.png,right,0.6959096416831017,0.5,stop
3.0,test,right,squareblack.png,,,0.45,stop
3.0,test,left,circleblack.png,left,0.705640472471714,0.5,go
3.0,test,right,squareblack.png,right,0.8514416962862015,0.5,go
3.0,test,left,circleblack.png,,,0.5,stop
3.0,test,right,squareblack.png,right,0.7398801743984222,0.55,stop
3.0,test,left,circleblack.png,left,0.664285235106945,0.5,go
3.0,test,right,squareblack.png,right,0.7563352957367897,0.5,go
3.0,test,right,squareblack.png,right,0.7353525161743164,0.5,go
3.0,test,left,circleblack.png,left,0.5395554155111313,0.5,go
3.0,test,left,circleblack.png,,,0.5,stop
3.0,test,right,squareblack.png,right,0.8069490343332291,0.55,go
3.0,test,left,circleblack.png,left,0.5348135456442833,0.55,go
3.0,test,left,circleblack.png,left,0.3997918963432312,0.55,go
3.0,test,right,squareblack.png,right,0.6059373989701271,0.55,go
3.0,test,left,circleblack.png,left,0.646439716219902,0.55,stop
3.0,test,right,squareblack.png,right,0.5239976570010185,0.5,go
3.0,test,right,squareblack.png,,,0.5,stop
3.0,test,left,circleblack.png,left,0.71696437895298,0.55,stop
3.0,test,right,squareblack.png,right,0.489691361784935,0.5,stop
3.0,test,right,squareblack.png,right,1.1946721374988556,0.45,go
3.0,test,left,circleblack.png,left,0.4694075137376785,0.45,go
3.0,test,left,circleblack.png,left,0.4046074375510216,0.45,go
3.0,test,left,circleblack.png,left,0.8076966404914856,0.45,go
3.0,test,right,squareblack.png,right,0.8232000321149826,0.45,go
3.0,test,right,squareblack.png,right,1.0216501206159592,0.45,go
3.0,test,left,circleblack.png,left,0.4765309616923332,0.45,stop
3.0,test,left,circleblack.png,left,0.3433616012334823,0.4,stop
3.0,test,left,circleblack.png,left,0.3978495672345161,0.35,go
3.0,test,right,squareblack.png,right,0.3229477852582931,0.35,go
3.0,test,left,circleblack.png,left,0.3563924208283424,0.35,go
3.0,test,right,squareblack.png,right,0.892691969871521,0.35,go
3.0,test,left,circleblack.png,left,0.7436498403549194,0.35,go
3.0,test,right,squareblack.png,,,0.35,stop
3.0,test,left,circleblack.png,left,0.5251025706529617,0.4,go
3.0,test,right,squareblack.png,right,0.7011154145002365,0.4,go
3.0,test,right,squareblack.png,,,0.4,stop
