Block,Phase,correctResponse,goStim,response,rt,ssd,trialType
1.0,practice,right,squareblack.png,right,0.6483742743730545,0.35,go
1.0,practice,right,squareblack.png,right,0.4646196998655796,0.35,go
1.0,practice,left,circleblack.png,left,0.4406359493732452,0.35,stop
1.0,practice,left,circleblack.png,left,0.6512121669948101,0.3,go
1.0,practice,left,circleblack.png,left,0.4728059358894825,0.3,go
1.0,practice,right,squareblack.png,right,0.3901502899825573,0.3,go
1.0,practice,right,squareblack.png,right,0.4025533944368362,0.3,stop
1.0,practice,left,circleblack.png,left,0.6160244345664978,0.25,go
1.0,practice,right,squareblack.png,,,0.25,stop
1.0,practice,right,squareblack.png,right,0.4978729002177715,0.3,go
1.0,practice,left,circleblack.png,left,0.5894429534673691,0.3,stop
1.0,practice,left,circleblack.png,left,0.7534596845507622,0.25,go
1.0,practice,left,circleblack.png,left,0.4343317598104477,0.25,stop
1.0,practice,left,circleblack.png,,,0.2,stop
1.0,practice,right,squareblack.png,right,0.46211838722229,0.25,stop
1.0,practice,left,circleblack.png,left,0.5519173927605152,0.2,go
1.0,practice,right,squareblack.png,,,0.2,stop
1.0,practice,left,circleblack.png,left,0.5250114388763905,0.25,go
1.0,practice,right,squareblack.png,right,0.5021249689161777,0.25,go
1.0,practice,right,squareblack.png,right,0.6057489924132824,0.25,go
1.0,practice,right,squareblack.png,right,0.5208419449627399,0.25,go
1.0,practice,left,circleblack.png,left,0.5728783644735813,0.25,go
1.0,practice,right,squareblack.png,right,0.5787002705037594,0.25,go
1.0,practice,left,circleblack.png,left,0.6895556934177876,0.25,go
1.0,test,left,circleblack.png,left,0.6696417927742004,0.25,stop
1.0,test,right,squareblack.png,right,0.3846056647598743,0.2,go
1.0,test,right,squareblack.png,right,0.5601690597832203,0.2,go
1.0,test,left,circleblack.png,left,0.4846247285604477,0.2,go
1.0,test,left,circleblack.png,left,0.5716809816658497,0.2,go
1.0,test,right,squareblack.png,right,0.5558927282691002,0.2,go
1.0,test,left,circleblack.png,left,0.6115897372364998,0.2,go
1.0,test,left,circleblack.png,,,0.2,stop
1.0,test,right,squareblack.png,,,0.25,stop
1.0,test,left,circleblack.png,left,0.4677542969584465,0.3,go
1.0,test,right,squareblack.png,right,0.52188441157341,0.3,go
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.5169514082372189,0.35,stop
1.0,test,right,squareblack.png,right,0.4412045665085315,0.3,go
1.0,test,right,squareblack.png,right,0.4969011470675468,0.3,stop
1.0,test,right,squareblack.png,right,0.6295624598860741,0.25,go
1.0,test,right,squareblack.png,,,0.25,stop
1.0,test,left,circleblack.png,left,0.4652345925569534,0.3,go
1.0,test,right,squareblack.png,right,0.5361987426877022,0.3,go
1.0,test,left,circleblack.png,left,0.5678909569978714,0.3,go
1.0,test,left,circleblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.6235360093414783,0.35,go
1.0,test,left,circleblack.png,left,0.6628467291593552,0.35,go
1.0,test,right,squareblack.png,right,0.5676873475313187,0.35,go
1.0,test,left,circleblack.png,left,0.6051980592310429,0.35,go
1.0,test,left,circleblack.png,left,0.5294987000524998,0.35,stop
1.0,test,right,squareblack.png,,,0.3,stop
1.0,test,right,squareblack.png,right,0.7892649322748184,0.35,go
1.0,test,right,squareblack.png,right,0.6617063954472542,0.35,go
1.0,test,right,squareblack.png,right,0.6777941137552261,0.35,go
1.0,test,left,circleblack.png,left,0.6197924986481667,0.35,go
1.0,test,left,circleblack.png,left,0.8563073314726353,0.35,go
1.0,test,right,squareblack.png,right,0.6147972196340561,0.35,stop
1.0,test,right,squareblack.png,left,0.7383127063512802,0.3,go
1.0,test,left,circleblack.png,,,0.3,stop
1.0,test,left,circleblack.png,left,0.5062056295573711,0.35,go
1.0,test,left,circleblack.png,left,0.590973149985075,0.35,go
1.0,test,left,circleblack.png,left,0.5692185796797276,0.35,go
1.0,test,right,squareblack.png,right,0.6470407396554947,0.35,go
1.0,test,right,squareblack.png,right,0.7613995298743248,0.35,go
1.0,test,right,squareblack.png,right,0.6055285632610321,0.35,stop
1.0,test,left,circleblack.png,left,0.5611201636493206,0.3,go
1.0,test,left,circleblack.png,left,0.5178953371942043,0.3,go
1.0,test,right,squareblack.png,right,0.5961344502866268,0.3,go
1.0,test,left,circleblack.png,,,0.3,stop
1.0,test,right,squareblack.png,left,0.5630286857485771,0.35,go
1.0,test,right,squareblack.png,right,0.7296864911913872,0.35,stop
1.0,test,left,circleblack.png,left,0.6260746084153652,0.3,stop
2.0,test,right,squareblack.png,left,1.1248567178845406,0.25,go
2.0,test,right,squareblack.png,right,0.4683841541409492,0.25,go
2.0,test,right,squareblack.png,right,0.4850282855331898,0.25,go
2.0,test,left,circleblack.png,left,0.5690321922302246,0.25,go
2.0,test,left,circleblack.png,left,0.6028382703661919,0.25,go
2.0,test,left,circleblack.png,left,0.551306314766407,0.25,go
2.0,test,right,squareblack.png,right,0.6349174864590168,0.25,go
2.0,test,left,circleblack.png,left,0.5781546719372272,0.25,go
2.0,test,right,squareblack.png,,,0.25,stop
2.0,test,left,circleblack.png,,,0.3,stop
2.0,test,right,squareblack.png,right,0.5145272575318813,0.35,stop
2.0,test,left,circleblack.png,,,0.3,stop
2.0,test,right,squareblack.png,right,0.5945911295711994,0.35,go
2.0,test,left,circleblack.png,left,0.5416481681168079,0.35,go
2.0,test,right,squareblack.png,,,0.35,stop
2.0,test,right,squareblack.png,right,0.6129016913473606,0.4,go
2.0,test,left,circleblack.png,left,0.5284025222063065,0.4,stop
2.0,test,right,squareblack.png,,,0.35,stop
2.0,test,left,circleblack.png,left,0.5176934339106083,0.4,stop
2.0,test,right,squareblack.png,right,0.6397956274449825,0.35,go
2.0,test,right,squareblack.png,right,0.5280940234661102,0.35,go
2.0,test,left,circleblack.png,left,0.4840291254222393,0.35,go
2.0,test,left,circleblack.png,left,0.606888759881258,0.35,go
2.0,test,left,circleblack.png,left,0.7526275627315044,0.35,go
2.0,test,left,circleblack.png,left,0.4882282465696335,0.35,go
2.0,test,right,squareblack.png,,,0.35,stop
2.0,test,right,squareblack.png,right,0.6504703983664513,0.4,go
2.0,test,left,circleblack.png,left,0.5913480333983898,0.4,stop
2.0,test,left,circleblack.png,left,0.4785996899008751,0.35,go
2.0,test,right,squareblack.png,,,0.35,stop
2.0,test,right,squareblack.png,right,0.7015976421535015,0.4,go
2.0,test,left,circleblack.png,left,1.1859489046037195,0.4,go
2.0,test,right,squareblack.png,right,0.5606667585670948,0.4,go
2.0,test,left,circleblack.png,left,0.5469725467264652,0.4,go
2.0,test,right,squareblack.png,right,0.6919627711176872,0.4,go
2.0,test,left,circleblack.png,,,0.4,stop
2.0,test,left,circleblack.png,left,0.4080138206481933,0.45,stop
2.0,test,left,circleblack.png,left,0.5460930541157722,0.4,go
2.0,test,right,squareblack.png,right,0.5309958644211292,0.4,go
2.0,test,right,squareblack.png,right,0.5645001903176308,0.4,go
2.0,test,left,circleblack.png,left,0.6629150584340096,0.4,go
2.0,test,left,circleblack.png,left,0.4556004740297794,0.4,go
